date,value
2018-01-04,4626100
2018-01-05,5395500
2018-01-05,5270800
2018-01-10,4854200
2018-01-11,5556700
2018-01-16,3876700
2018-01-17,5182100
2018-01-22,4048900
2018-01-22,3994600
2018-01-23,5158900
2018-01-28,5158900
2018-01-29,5654200
2018-01-29,5270800
2018-02-03,4978000
2018-02-04,5654200
2018-02-09,4637800
2018-02-10,5218800
2018-02-15,3311500
2018-02-15,3257000
2018-02-16,4987200
2018-02-21,4461500
2018-02-22,5395500
2018-02-27,4675500
2018-02-27,4619200
2018-02-28,4998700
2018-03-05,4862900
2018-03-06,5105700
2018-03-11,4934700
2018-03-11,4846500
2018-03-12,5309800
2018-03-17,4814000
2018-03-18,5192800
2018-03-18,4838500
2018-03-23,5105700
2018-03-24,5427100
2018-03-29,4538500
2018-03-30,5285700
2018-04-04,4249700
2018-04-04,4200400
2018-04-05,4942100
2018-04-10,4694900
2018-04-11,5205700
2018-04-16,4415300
2018-04-16,4360600
2018-04-17,4511800
2018-04-22,3997800
2018-04-23,4405900
2018-04-28,4599700
2018-04-28,4532200
2018-04-29,5340400
2018-05-04,3952500
2018-05-05,4526300
2018-05-10,4089900
2018-05-11,4257200
2018-05-16,4345200
2018-05-17,4777700
2018-05-17,4579200
2018-05-23,4526300
2018-05-28,4415300
2018-05-29,4902600
2018-05-29,4838500
2018-06-03,4425200
2018-06-04,5064700
2018-06-09,4270700
2018-06-10,4918700
2018-06-15,4027900
2018-06-16,4473200
2018-06-21,3997800
2018-06-22,4207800
2018-06-22,4125700
2018-06-27,4024900
2018-06-28,4637800
2018-07-03,4016100
2018-07-04,4733000
2018-07-09,3945200
2018-07-09,3942300
2018-07-10,4645500
2018-07-15,4249700
2018-07-16,4725200
2018-07-21,3802700
2018-07-22,4304300
2018-07-27,3784900
2018-07-28,4420400
2018-08-02,3708400
2018-08-02,3704700
2018-08-03,3978300
2018-08-08,3638800
2018-08-09,4415300
2018-08-09,4390000
2018-08-14,3765500
2018-08-15,4211500
2018-08-20,3781100
2018-08-21,4328600
2018-08-21,4315700
2018-08-26,3836500
2018-08-27,4846500
2018-09-01,3638800
2018-09-02,4288700
2018-09-07,3733100
2018-09-07,3712300
2018-09-08,4902600
2018-09-13,3579200
2018-09-14,3931700
2018-09-14,3906200
2018-09-19,3566500
2018-09-20,4425200
2018-09-25,3822200
2018-09-26,4942100
2018-09-26,4659200
2018-10-01,3652900
2018-10-02,4846500
2018-10-07,3939200
2018-10-08,4748300
2018-10-08,4350200
2018-10-13,3610600
2018-10-14,4492600
2018-10-19,4016100
2018-10-20,4978000
2018-10-25,3573000
2018-10-26,3915300
2018-10-31,3897800
2018-11-01,4668300
2018-11-06,4292400
2018-11-06,4192000
2018-11-07,5309800
2018-11-12,3599900
2018-11-13,4792000
2018-11-18,4099200
2018-11-18,4074400
2018-11-19,5084700
2018-11-24,4324100
2018-11-25,5009100
2018-11-30,4612300
2018-11-30,4526300
2018-12-01,5192800
2018-12-06,3806700
2018-12-07,4415300
2018-12-07,4324100
2018-12-12,4675500
2018-12-13,5352800
2018-12-18,3990900
2018-12-19,5055000
2018-12-19,4887900
2018-12-24,3863300
2018-12-25,5036600
2018-12-30,4733000
2019-01-05,4086300
2019-01-06,5395500
2019-01-11,4249700
2019-01-11,4239000
2019-01-12,5297600
2019-01-17,4748300
2019-01-17,4694900
2019-01-18,5231100
2019-01-18,4951800
2019-01-23,5255700
2019-01-24,5255700
2019-01-29,5084700
2019-01-29,5036600
2019-01-30,5458200
2019-02-04,4207800
2019-02-05,4572200
2019-02-10,4871600
2019-02-11,5094100
2019-02-11,4296000
2019-02-16,4895200
2019-02-17,5297600
2019-02-17,4987200
2019-02-22,4274500
2019-02-23,5205700
2019-02-28,4369700
2019-03-01,4998700
2019-03-01,4951800
2019-03-06,4846500
2019-03-07,5340400
2019-03-12,4480400
2019-03-13,5218800
2019-03-13,4978000
2019-03-18,4763300
2019-03-19,4978000
2019-03-19,4783800
2019-03-24,4783800
2019-03-25,5231100
2019-03-30,4659200
2019-03-31,4918700
2019-04-05,5045500
2019-04-05,5009100
2019-04-06,5323500
2019-04-11,4814000
2019-04-12,4710400
2019-04-12,5027000
2019-04-17,4619200
2019-04-18,4987200
2019-04-23,5027000
2019-04-24,5218800
2019-04-24,4748300
2019-04-29,4492600
2019-04-30,4770500
2019-04-30,4942100
2019-05-05,4777700
2019-05-06,5009100
2019-05-06,4645500
2019-05-11,4505300
2019-05-12,5064700
2019-05-12,4862900
2019-05-17,4846500
2019-05-18,5149200
2019-05-23,4396200
2019-05-24,4829600
2019-05-29,4606000
2019-05-30,4998700
2019-06-04,4511800
2019-06-04,4505300
2019-06-05,5126100
2019-06-10,4701800
2019-06-10,4675500
2019-06-11,5105700
2019-06-11,4783800
2019-06-16,4147800
2019-06-17,4396200
2019-06-22,4067900
2019-06-23,4410700
2019-06-28,4051500
2019-06-29,4763300
2019-07-04,4024900
2019-07-05,4518700
2019-07-10,3827200
2019-07-11,3997800
2019-07-11,4089900
2019-07-16,3909200
2019-07-16,3903500
2019-07-17,4480400
2019-07-22,3845700
2019-07-22,3840500
2019-07-23,4449400
2019-07-28,3956300
2019-07-28,3945200
2019-07-29,4619200
2019-07-29,4074400
2019-08-03,3708400
2019-08-04,4300300
2019-08-04,4078000
2019-08-09,3985100
2019-08-10,4694900
2019-08-15,3673100
2019-08-16,3931700
2019-08-21,3701800
2019-08-21,3698400
2019-08-22,4612300
2019-08-27,3652900
2019-08-28,4283600
2019-08-28,4013200
2019-09-02,4027900
2019-09-03,4612300
2019-09-08,3657400
2019-09-08,3652900
2019-09-09,4566900
2019-09-09,3744700
2019-09-14,3873800
2019-09-15,4328600
2019-09-15,3894700
2019-09-20,3683000
2019-09-21,4245600
2019-09-26,3669400
2019-09-26,3657400
2019-09-27,4505300
2019-10-02,4328600
2019-10-02,4204700
2019-10-03,4710400
2019-10-08,4041800
2019-10-08,3969800
2019-10-09,4681600
2019-10-09,3855000
2019-10-14,4345200
2019-10-15,4918700
2019-10-15,4733000
2019-10-20,4283600
2019-10-21,4887900
2019-10-21,3620200
2019-10-26,3579200
2019-10-27,4748300
2019-11-01,4538500
2019-11-01,4405900
2019-11-02,5045500
2019-11-07,4405900
2019-11-07,4304300
2019-11-08,5231100
2019-11-08,5116100
2019-11-13,4725200
2019-11-14,5477400
2019-11-14,5105700
2019-11-19,3652900
2019-11-20,4998700
2019-11-25,4051500
2019-11-25,4027900
2019-11-26,4637800
2019-12-01,4093000
2019-12-01,4031900
2019-12-02,5055000
2019-12-02,4384500
2019-12-07,3802700
2019-12-08,5094100
2019-12-08,4694900
2019-12-13,4572200
2019-12-14,5135700
2019-12-19,3661600
2019-12-20,4829600
2019-12-25,3748400
2019-12-25,3744700
2019-12-26,4279500
2019-12-26,4218400
2020-01-01,4987200
2020-01-06,3836500
2020-01-07,4846500
2020-01-12,3830000
2020-01-12,3814100
2020-01-13,4934700
2020-01-18,3967000
2020-01-18,3948800
2020-01-19,5365300
2020-01-24,4425200
2020-01-24,4355800
2020-01-25,4998700
2020-01-30,4172800
2020-01-30,4134900
2020-01-31,4987200
2020-02-05,4566900
2020-02-05,4492600
2020-02-06,5477400
2020-02-11,4239000
2020-02-11,4175800
2020-02-12,4846500
2020-02-17,4154300
2020-02-17,4116900
2020-02-18,5116100
2020-02-23,4037600
2020-02-23,4027900
2020-02-24,4701800
2020-02-24,4546400
2020-02-29,4701800
2020-03-01,5340400
2020-03-06,4763300
2020-03-06,4652200
2020-03-07,5135700
2020-03-12,3817200
2020-03-13,4584700
2020-03-18,4887900
2020-03-18,4763300
2020-03-19,5205700
2020-03-24,4998700
2020-03-24,4887900
2020-03-25,5270800
2020-03-30,3869800
2020-03-31,4668300
2020-04-05,3860200
2020-04-06,4871600
2020-04-06,4162100
2020-04-11,4242500
2020-04-12,4902600
2020-04-17,3889100
2020-04-17,3884400
2020-04-18,4637800
2020-04-23,4239000
2020-04-23,4234800
2020-04-24,4854200
2020-04-29,4410700
2020-04-29,4360600
2020-04-30,5064700
2020-05-05,4099200
2020-05-05,4093000
2020-05-06,4637800
2020-05-06,4188800
2020-05-11,4082300
2020-05-12,4572200
2020-05-12,4401000
2020-05-17,3969800
2020-05-18,4312100
2020-05-18,4134900
2020-05-23,3956300
2020-05-24,4823500
2020-05-29,3975300
2020-05-29,3972500
2020-05-30,4632400
2020-06-04,4566900
2020-06-04,4473200
2020-06-05,4998700
2020-06-10,3900300
2020-06-10,3894700
2020-06-11,5105700
2020-06-16,4668300
2020-06-16,4546400
2020-06-17,4777700
2020-06-22,4134900
2020-06-22,4071400
2020-06-23,4559600
2020-06-29,3929700
2020-06-29,3912900
2020-06-29,3858100
2020-07-04,3751700
2020-07-05,4283600
2020-07-10,3661600
2020-07-11,4425200
2020-07-16,3729400
2020-07-16,3716000
2020-07-17,4165600
2020-07-22,3669400
2020-07-22,3665300
2020-07-23,4041800
2020-07-28,3594400
2020-07-28,3589500
2020-07-29,4204700
2020-07-29,4182300
2020-08-03,3876700
2020-08-04,4688500
2020-08-04,3985100
2020-08-09,3462100
2020-08-10,4538500
2020-08-15,4125700
2020-08-15,4031900
2020-08-16,4978000
2020-08-16,4350200
2020-08-21,3429100
2020-08-22,4345200
2020-08-27,3381800
2020-08-27,3374400
2020-08-28,4599700
2020-09-02,3532500
2020-09-02,3491500
2020-09-03,4599700
2020-09-03,4384500
2020-09-08,4071400
2020-09-09,4652200
2020-09-09,4074400
2020-09-14,3978300
2020-09-15,4288700
2020-09-20,4059000
2020-09-20,3987900
2020-09-21,4763300
2020-09-21,4264000
2020-09-26,3956300
2020-09-27,5169800
2020-10-02,4960400
2020-10-02,4725200
2020-10-03,5458200
2020-10-03,4792000
2020-10-08,3333400
2020-10-09,4420400
2020-10-14,4792000
2020-10-14,4511800
2020-10-15,5036600
2020-10-20,3894700
2020-10-20,3863300
2020-10-21,3848200
2020-10-26,4632400
2020-10-27,5094100
2020-11-01,3129200
2020-11-01,3103400
2020-11-02,4526300
2020-11-02,4051500
2020-11-07,3203100
2020-11-08,4420400
2020-11-13,3170500
2020-11-13,3150500
2020-11-14,4518700
2020-11-14,4182300
2020-11-19,4207800
2020-11-20,4748300
2020-11-20,4599700
2020-11-25,4188800
2020-11-26,4934700
2020-11-26,4725200
2020-12-01,3429100
2020-12-02,5231100
2020-12-07,4619200
2020-12-07,4433000
2020-12-13,3257000
2020-12-14,4659200
2020-12-14,4401000
2020-12-19,3820100
2020-12-20,4987200
2020-12-25,4071400
2020-12-25,3972500
2020-12-26,5556700
