date,value
2018-01-04,24667349.923475366
2018-01-24,24955004.048451643
2018-02-13,24620159.74426876
2018-02-18,24667349.923475366
2018-04-04,37558155.4552075
2018-04-09,47780047.10087867
2018-04-14,50148192.32584175
2018-04-19,52945422.25718655
2018-04-24,53928557.13883943
2018-05-04,30895416.904546827
2018-05-09,55417349.19755047
2018-05-14,59158949.06604327
2018-05-19,34434487.40769987
2018-06-13,60801529.79594151
2018-06-18,58651858.46309232
2018-06-23,59302263.98959096
2018-06-28,58002037.03324691
2018-07-03,56640715.4978806
2018-07-08,57518165.91389814
2018-07-13,55509205.395918965
2018-07-18,54513008.312478684
2018-07-23,54938198.991484605
2018-07-28,52968551.06021742
2018-08-02,51710917.75380989
2018-08-07,51051867.40344131
2018-08-12,51137832.45804915
2018-08-17,51810106.692452565
2018-08-22,48901830.25943384
2018-08-27,48222414.46949271
2018-09-01,47610964.46772025
2018-09-06,46643424.68752679
2018-09-16,47395718.31235493
2018-09-21,47234574.72723709
2018-09-26,63256311.52526573
2018-10-01,45521655.72565802
2018-10-06,45188742.85098549
2018-10-16,24667349.923475366
2018-10-31,22394791.213236537
2018-11-15,42309897.25925565
2018-11-30,42247263.1055972
2018-12-05,55509205.395918965
2018-12-10,51980709.9194448
2018-12-15,54060781.69654999
2018-12-20,58651858.46309232
2018-12-25,56069706.64784253
2018-12-30,55176228.497427635
2019-01-09,55587994.322887115
2019-01-14,57646305.7650341
2019-02-03,59375334.08633988
2019-02-08,59722297.001404464
2019-02-13,60656577.79956923
2019-02-28,60971295.88034706
2019-03-10,62099356.13057421
2019-03-15,63404053.793369055
2019-03-25,61958524.55348775
2019-03-30,62547667.47627138
2019-04-04,62786255.513406605
2019-04-14,64752043.6893054
2019-04-29,65338948.764323354
2019-05-04,67042559.884644076
2019-05-09,65695648.37444686
2019-05-14,65641803.813039325
2019-05-19,65675808.569305316
2019-05-29,65641803.813039325
2019-06-08,63047510.06898375
2019-06-13,63859412.70085711
2019-06-18,63672061.31958814
2019-06-23,61872992.08421673
2019-06-28,59885252.18869607
2019-07-03,60785112.24090179
2019-07-08,58805394.370805584
2019-07-13,56683117.06554365
2019-07-18,57201045.06615402
2019-07-28,53972615.6351031
2019-08-02,53830132.59200539
2019-08-07,52266466.63949959
2019-08-17,50986173.78958719
2019-08-22,48792833.37455795
2019-08-27,46723505.68300333
2019-09-01,47129721.48668052
2019-09-06,44835496.03987576
2019-09-11,44374365.88625994
2019-09-16,46485872.06963671
2019-09-26,46961690.02203026
2019-10-01,46243956.75455752
2019-10-06,45865307.77176147
2019-10-16,44502504.01428471
2019-10-21,44502504.01428471
2019-10-26,44609414.08767854
2019-10-31,28132068.21141304
2019-11-05,46007436.610495925
2019-11-15,47447043.590217575
2019-11-30,47432376.648150876
2019-12-05,46784214.67827531
2019-12-10,47794762.81590221
2019-12-15,46745356.79280021
2019-12-25,46745356.79280021
2019-12-30,52118396.567899
2020-01-04,50801931.924580865
2020-01-09,50801931.924580865
2020-01-14,51632136.910846695
2020-01-24,49224512.30183322
2020-01-29,51051867.40344131
2020-02-03,50986173.78958719
2020-02-08,48005914.42055021
2020-02-18,54247702.22986029
2020-02-23,52688744.59356175
2020-02-28,54878111.76069582
2020-03-04,54190556.50389168
2020-03-14,55540714.87008399
2020-03-24,53241302.46430171
2020-03-29,54878111.76069582
2020-05-03,58002037.03324691
2020-05-08,57478148.797581665
2020-05-13,58783834.46335787
2020-05-18,58657242.59870977
2020-05-23,59094103.60261414
2020-05-28,57539513.552984014
2020-06-07,49787778.203194074
2020-06-12,68139404.05190103
2020-06-17,56683117.06554365
2020-06-22,55241703.129035525
2020-06-27,54273686.611444294
2020-07-02,54440120.598611206
2020-07-07,54034843.7108653
2020-07-17,49737814.17105996
2020-07-22,48832455.812109955
2020-07-27,47349302.918368995
2020-08-06,44649832.68620931
2020-08-16,43235718.22323141
2020-08-21,41282979.31200523
2020-08-26,41227921.11806236
2020-08-31,38976986.59307896
2020-09-05,38697992.27311276
2020-09-10,37877513.18466183
2020-09-15,36829390.599643104
2020-09-20,35969054.562577255
2020-09-25,36349322.15595332
2020-10-05,35130767.2265204
2020-10-15,32211341.498250067
2020-10-25,31383938.152470198
2020-10-30,32410469.42045805
2020-11-09,32779396.365196437
2020-11-19,35088129.77541612
2020-11-24,32211341.498250067
2020-11-29,33619029.1929042
2020-12-04,33270782.77678891
2020-12-09,32857960.2735822
2020-12-19,21540422.434971247
2020-12-24,34459849.35335274
2020-12-29,27734342.28265919
