date,value
2018-01-05,8763000
2018-01-06,8763000
2018-01-10,8763000
2018-01-11,8564600
2018-01-12,8564600
2018-01-17,8640400
2018-01-18,8533000
2018-01-22,8732000
2018-01-23,8496700
2018-01-24,8496700
2018-01-29,8763000
2018-01-30,8592200
2018-02-03,8949200
2018-02-04,8679800
2018-02-05,8679800
2018-02-10,8839000
2018-02-11,8715000
2018-02-15,8902200
2018-02-16,8698300
2018-02-17,8698300
2018-02-22,8855200
2018-02-23,8640400
2018-02-27,8839000
2018-02-28,8732000
2018-03-01,8732000
2018-03-06,9483400
2018-03-07,9179200
2018-03-11,9530600
2018-03-12,9435600
2018-03-13,9435600
2018-03-18,10726400
2018-03-19,10656800
2018-03-23,10922600
2018-03-24,10792700
2018-03-25,10792700
2018-03-29,11290300
2018-03-30,11585300
2018-03-31,11340500
2018-04-04,11711300
2018-04-05,11432500
2018-04-06,11432500
2018-04-10,11515400
2018-04-11,12042300
2018-04-12,11711300
2018-04-16,12145500
2018-04-17,11930100
2018-04-18,11930100
2018-04-22,12392700
2018-04-23,12943600
2018-04-24,12603000
2018-04-28,13019300
2018-04-29,12659800
2018-04-30,12659800
2018-05-04,12846200
2018-05-05,13520100
2018-05-06,12993100
2018-05-10,13555400
2018-05-11,13217100
2018-05-12,13217100
2018-05-16,13484800
2018-05-17,13878000
2018-05-18,13447300
2018-05-22,14017000
2018-05-23,13520100
2018-05-24,13520100
2018-05-28,13745800
2018-05-29,14649900
2018-05-30,13922200
2018-06-03,15231000
2018-06-04,13922200
2018-06-05,13922200
2018-06-09,13745800
2018-06-10,14500300
2018-06-11,13745800
2018-06-15,14649900
2018-06-16,13786800
2018-06-17,13786800
2018-06-22,14363900
2018-06-23,14363900
2018-06-27,14363900
2018-06-28,13592400
2018-06-29,13592400
2018-07-04,13966700
2018-07-05,13447300
2018-07-09,14913300
2018-07-10,13343900
2018-07-11,13343900
2018-07-16,13966700
2018-07-17,13248900
2018-07-21,14244200
2018-07-22,13187700
2018-07-23,13187700
2018-07-28,13413300
2018-07-29,13072700
2018-08-02,14728900
