date,value
2018-01-04,2731000
2018-01-05,3029100
2018-01-11,2782600
2018-01-16,2626100
2018-01-17,2957300
2018-01-23,2844000
2018-01-28,2626100
2018-01-29,2844000
2018-02-04,2879000
2018-02-09,2607400
2018-02-10,2774500
2018-02-16,2765000
2018-02-21,3041800
2018-02-21,2664800
2018-02-22,2802200
2018-02-28,2888400
2018-03-05,2862500
2018-03-06,3080800
2018-03-12,3489300
2018-03-17,3635000
2018-03-18,3850900
2018-03-23,4476400
2018-03-24,4848800
2018-03-29,5008000
2018-03-30,5079100
2018-04-04,5209300
2018-04-05,5201500
2018-04-10,5304600
2018-04-11,5468900
2018-04-16,5761900
2018-04-17,5845400
2018-04-22,5927500
2018-04-23,5974900
2018-04-28,6057700
2018-04-29,6034800
2018-05-04,6034800
2018-05-05,6120800
2018-05-11,6220900
2018-05-16,6372600
2018-05-16,6220900
2018-05-17,6311700
2018-05-22,6406800
2018-05-23,6340500
2018-05-28,6443100
2018-05-28,6340500
2018-05-29,6372600
2018-06-03,6477900
2018-06-04,6372600
2018-06-09,6311700
2018-06-10,6372600
2018-06-15,6443100
2018-06-16,6340500
2018-06-21,6180700
2018-06-22,6285000
2018-06-28,6159600
2018-07-03,6220900
2018-07-04,6057700
2018-07-10,6057700
2018-07-15,6140800
2018-07-16,5994200
2018-07-22,5974900
2018-07-27,6014100
2018-07-28,5855300
2018-08-03,5824000
2018-08-08,5916200
2018-08-09,5610800
2018-08-15,5517800
2018-08-20,5620700
2018-08-21,5368000
2018-08-27,5304600
2018-09-01,5368000
2018-09-02,5131900
2018-09-08,5118300
2018-09-13,5270400
2018-09-14,4977000
2018-09-20,4951800
2018-09-25,5118300
2018-09-26,4916200
2018-10-02,4835300
2018-10-07,4902800
2018-10-08,4694600
2018-10-14,4694600
2018-10-19,4855200
2018-10-20,4673800
2018-10-26,4666500
2018-10-31,5028200
2018-11-01,4782300
2018-11-07,4817000
2018-11-12,4916200
2018-11-13,4803700
2018-11-19,4861100
2018-11-24,5109600
2018-12-01,5157200
2018-12-06,5164700
2018-12-07,5028200
2018-12-13,5044400
2018-12-18,5313400
2018-12-19,5070300
2018-12-25,5044400
2018-12-30,5254500
2019-01-05,5181300
2019-01-06,5323700
2019-01-11,5188400
2019-01-12,5157200
2019-01-17,5231100
2019-01-18,5181300
2019-01-23,5231100
2019-01-24,5181300
2019-01-29,5254500
2019-01-30,5209300
2019-02-04,5357000
2019-02-05,5378600
2019-02-10,5517800
2019-02-11,5468900
2019-02-16,5546600
2019-02-17,5508000
2019-02-22,5583800
2019-02-23,5517800
2019-02-28,5508000
2019-03-01,5488300
2019-03-06,5574700
2019-03-07,5564400
2019-03-12,5631700
2019-03-13,5592800
2019-03-18,5620700
2019-03-19,5564400
2019-03-24,5620700
2019-03-25,5583800
2019-03-30,5642100
2019-03-31,5592800
2019-04-05,5688900
2019-04-06,5679100
2019-04-11,5772300
2019-04-12,5714900
2019-04-17,5714900
2019-04-18,5668700
2019-04-23,5879900
2019-04-24,5814000
2019-04-29,5781800
2019-04-30,5732500
2019-05-05,5753100
2019-05-06,5679100
2019-05-11,5602100
2019-05-12,5546600
