date,value
2018-01-04,28792221.926536027
2018-01-05,28501496.582188025
2018-01-11,39612751.81401017
2018-01-16,30543572.1395292
2018-01-17,81362686.2488994
2018-01-23,32196351.008987684
2018-01-23,27710325.357663263
2018-01-28,48570863.20969671
2018-01-29,35891664.53967694
2018-02-04,30248267.551797185
2018-02-04,30404180.74594728
2018-02-09,29075748.886801045
2018-02-10,29237739.302085314
2018-02-16,30248267.551797185
2018-02-21,37668649.02503775
2018-02-22,30404180.74594728
2018-02-28,36112766.93256756
2018-03-05,51401464.71967325
2018-03-06,36112766.93256756
2018-03-12,44988279.76794931
2018-03-17,50754470.72389521
2018-03-18,60374387.0257462
2018-03-24,76070413.50573654
2018-03-29,77279976.83856677
2018-03-30,75025515.63763246
2018-04-05,79091760.61687143
2018-04-05,81608990.99806194
2018-04-10,87234592.17641932
2018-04-11,90269968.42813075
2018-04-17,97714869.2743193
2018-04-22,97714869.2743193
2018-04-23,97714869.2743193
2018-04-29,100372151.67781277
2018-04-29,99836589.50184473
2018-05-04,101464471.43984759
2018-05-05,102470140.1556614
2018-05-11,104578446.02328151
2018-05-11,105744708.3990195
2018-05-16,105744708.3990195
2018-05-17,107205760.9747558
2018-05-23,107205760.9747558
2018-05-28,108054085.71631359
2018-05-29,109925644.4760913
2018-06-04,107205760.9747558
2018-06-09,107205760.9747558
2018-06-10,108960548.62404752
2018-06-16,106446693.97237915
2018-06-16,107205760.9747558
2018-06-21,103018531.86215639
2018-06-22,104066242.08219397
2018-06-28,103018531.86215639
2018-07-03,100372151.67781277
2018-07-04,100944896.19132923
2018-07-10,100372151.67781277
2018-07-15,99836589.50184473
2018-07-16,98717313.89741771
2018-07-22,98207960.39327754
2018-07-27,95604509.24587664
2018-07-28,94429450.53660952
2018-08-03,95300768.57123457
2018-08-08,90012086.53218608
2018-08-09,87004344.59003092
2018-08-15,87440530.2650873
2018-08-20,83422577.5201443
2018-08-21,81608990.99806194
2018-08-27,81884307.36442135
2018-09-01,77446621.99817456
2018-09-02,76748047.77677284
2018-09-08,79582030.53900102
2018-09-13,73280244.97560021
2018-09-14,74008919.58060521
2018-09-20,75627618.13377896
2018-09-25,72469318.76291274
2018-09-26,73280244.97560021
2018-10-02,70382486.17244835
2018-10-07,68571456.95044945
2018-10-08,67413015.04963118
2018-10-14,69030508.21224089
2018-10-19,67064860.428284526
2018-10-20,70955033.08158116
2018-10-26,68423176.10415834
2018-10-31,73280244.97560021
2018-11-01,70228275.10609129
2018-11-07,69947379.7207
2018-11-12,70679911.6789368
2018-11-13,74408942.13975589
2018-11-19,74182244.62736164
2018-11-24,74182244.62736164
2018-12-01,76544530.80981663
2018-12-06,75236868.0917607
2018-12-07,77279976.83856677
2018-12-13,80337316.99436869
2018-12-18,76070413.50573654
2018-12-19,76544530.80981663
2018-12-25,76544530.80981663
2018-12-30,78888393.84111115
2019-01-05,78227573.9862317
2019-01-06,78227573.9862317
2019-01-11,79404270.76556177
2019-01-12,78888393.84111115
2019-01-12,82138372.17141347
2019-01-17,79959353.34292224
2019-01-17,79774171.45972651
2019-01-18,80765972.70007323
2019-01-18,78227573.9862317
2019-01-23,80337316.99436869
2019-01-24,80765972.70007323
2019-01-29,81362686.2488994
2019-01-30,81152463.10696958
2019-02-04,86061154.780088
2019-02-05,90975533.51460564
2019-02-05,84273002.78111996
2019-02-10,86300267.52950609
2019-02-11,84273002.78111996
2019-02-11,85812535.59322572
2019-02-16,88581232.5757128
2019-02-17,90759182.41779792
2019-02-17,85812535.59322572
2019-02-22,86556724.17314541
2019-02-23,85109519.27786012
2019-02-23,87004344.59003092
2019-02-28,86061154.780088
2019-03-01,87440530.2650873
2019-03-06,89353711.03453995
2019-03-07,89554009.8822061
2019-03-12,88138088.17100653
2019-03-13,89096773.57190438
2019-03-18,90012086.53218608
2019-03-19,88581232.5757128
2019-03-24,89096773.57190438
2019-03-25,89096773.57190438
2019-03-30,90513215.01151384
2019-03-31,82671385.8220219
2019-03-31,90012086.53218608
2019-04-05,92830746.4269406
2019-04-06,94172394.58617371
2019-04-11,90759182.41779792
2019-04-12,88825302.20845678
2019-04-12,91857765.45148003
2019-04-17,91366428.33837545
2019-04-18,94172394.58617371
2019-04-23,94172394.58617371
2019-04-24,94679186.69644596
2019-04-24,91159701.9091665
2019-04-29,91857765.45148003
2019-04-30,91366428.33837545
2019-04-30,93357535.52210903
2019-05-05,90975533.51460564
2019-05-06,87004344.59003092
2019-05-06,88581232.5757128
2019-05-11,85109519.27786012
2019-05-12,87916815.56254119
2019-05-17,86061154.780088
2019-05-18,84905572.34458551
2019-05-18,82926324.52347569
2019-05-23,79245592.85357364
2019-05-24,78394949.9690946
2019-05-29,78550654.15419686
2019-05-30,77836746.0797284
2019-06-04,78036780.93842508
2019-06-05,75418197.30635594
2019-06-05,76748047.77677284
2019-06-10,75418197.30635594
2019-06-10,75236868.0917607
2019-06-11,73068586.45489518
2019-06-11,75832586.8354279
2019-06-16,73068586.45489518
2019-06-17,71618259.40873775
2019-06-17,73280244.97560021
2019-06-22,72469318.76291274
2019-06-23,71618259.40873775
2019-06-23,68423176.10415834
2019-06-28,68091087.06339544
2019-06-29,68879620.02415091
2019-07-04,67064860.428284526
2019-07-05,61190090.12871012
2019-07-05,67064860.428284526
2019-07-10,64443653.452413365
2019-07-10,64066001.03513665
2019-07-11,59460097.59057325
2019-07-11,67064860.428284526
2019-07-16,64243749.621640764
2019-07-16,63645378.3971167
2019-07-17,56426517.37985913
2019-07-17,63435440.62640771
2019-07-22,60664489.82933607
2019-07-22,60374387.0257462
2019-07-23,54640957.50089219
2019-07-23,59191266.19529576
2019-07-28,62435125.80872786
2019-07-28,61190090.12871012
2019-07-29,60374387.0257462
2019-07-29,50058227.94822914
2019-08-03,54351231.62334168
2019-08-04,48180260.65542561
2019-08-04,62848506.450663194
2019-08-09,66439371.74252228
2019-08-09,64996192.051364414
2019-08-10,47021158.0781888
2019-08-10,59191266.19529576
2019-08-15,56680279.65777394
2019-08-15,55922310.25045676
2019-08-16,54351231.62334168
2019-08-16,44358206.18362958
2019-08-21,62435125.80872786
2019-08-22,59191266.19529576
2019-08-27,48180260.65542561
2019-08-27,47794740.87177081
2019-08-28,47390652.139770836
2019-08-28,42995486.89229994
2019-09-02,57695187.59868742
2019-09-03,42205599.74856294
2019-09-03,39965781.862969905
2019-09-08,36112766.93256756
2019-09-09,41016655.17964985
2019-09-09,35891664.53967694
2019-09-14,36112766.93256756
2019-09-15,36849095.27302854
2019-09-20,37110142.74370433
2019-09-21,41815455.40311679
2019-09-26,35649726.65135322
