date,value
2018-01-04,11131700
2018-01-05,10995600
2018-01-11,11554600
2018-01-16,11525400
2018-01-16,11494000
2018-01-17,11503300
2018-01-23,11516700
2018-01-28,11908700
2018-01-28,11798700
2018-01-29,11599000
2018-02-04,11789300
2018-02-09,11471500
2018-02-09,11448500
2018-02-10,11382700
2018-02-16,11908700
2018-02-16,11371800
2018-02-21,11798300
2018-02-22,11347700
2018-02-28,12461400
2018-03-05,14356800
2018-03-05,14103700
2018-03-06,12439600
2018-03-12,13018200
2018-03-17,13583700
2018-03-18,13518400
2018-03-24,14746600
2018-03-29,14852900
2018-03-30,14706300
2018-04-05,14907900
2018-04-05,15185400
2018-04-10,15393900
2018-04-11,15358500
2018-04-17,15900900
2018-04-22,15861200
2018-04-23,15848300
2018-04-29,16363200
2018-05-04,16325600
2018-05-05,16160500
2018-05-11,16591200
2018-05-16,16636100
2018-05-17,16592200
2018-05-23,16788900
2018-05-28,16950400
2018-05-29,16891500
2018-06-04,17102800
2018-06-09,17111500
2018-06-10,17044900
2018-06-16,17019300
2018-06-16,17213900
2018-06-21,17164000
2018-06-22,17044900
2018-06-28,17070000
2018-07-03,16984200
2018-07-04,16929200
2018-07-10,17019100
2018-07-15,16801100
2018-07-16,16592200
2018-07-22,16801100
2018-07-27,16508000
2018-07-28,16325600
2018-08-03,16474000
2018-08-08,16286300
2018-08-09,16025700
2018-08-15,16267500
2018-08-20,15957100
2018-08-21,15750200
2018-08-27,15975600
2018-09-01,15577900
2018-09-02,15425900
2018-09-08,15695900
2018-09-13,15358500
2018-09-14,15145500
2018-09-20,15622600
2018-09-25,15425200
2018-09-26,15269800
2018-10-02,15341500
2018-10-07,15248500
2018-10-08,15170700
2018-10-14,15498400
2018-10-19,15358500
2018-10-20,15496600
2018-10-26,15709500
2018-10-31,15828100
2018-11-01,15606000
2018-11-07,15848300
2018-11-12,15785300
2018-11-13,15879800
2018-11-19,15975600
2018-11-24,16079900
2018-12-01,16363200
2018-12-06,16267500
