date,value
2018-01-02,34855837.370684475
2018-01-12,29666762.424205817
2018-01-17,39045552.07894799
2018-01-19,27446410.824203443
2018-01-22,35213940.20040666
2018-01-24,34425398.623926066
2018-01-27,34212380.97405174
2018-02-08,34833850.206150256
2018-02-11,36224743.445276186
2018-02-13,32784968.24020186
2018-02-16,41894748.42585251
2018-02-18,32978118.61832417
2018-02-21,34038009.7593531
2018-02-26,41630928.5991472
2018-03-28,42669438.90300719
2018-04-02,44580217.65669424
2018-04-14,43483202.73529883
2018-04-17,43296461.884875506
2018-04-19,42061103.93438215
2018-04-22,11214865.566962495
2018-04-27,43296461.884875506
2018-04-29,34987881.976253055
2018-05-02,44580217.65669424
2018-05-07,44702134.34346693
2018-06-03,45218765.70519433
2018-06-13,46299676.369232245
2018-06-16,49126108.588556625
2018-06-21,49800538.26780977
2018-06-23,45725558.21013483
2018-06-26,46628198.95854927
2018-06-28,28874581.542261988
2018-07-01,10881404.109788064
2018-07-03,42537920.979151614
2018-07-06,43468130.551101476
2018-07-08,39748537.69672506
2018-07-11,41199653.639950804
2018-07-13,39106097.08863308
2018-07-16,42296251.87588606
2018-07-18,37626947.72069489
2018-07-21,37700765.16552215
2018-07-23,36788016.91384816
2018-07-26,41184917.167502545
2018-07-28,34908080.10001744
2018-07-31,37013214.14241788
2018-08-02,33942807.897452734
2018-08-05,33806998.41861351
2018-08-07,30764716.634541497
2018-08-10,29916474.925485123
2018-08-12,30343249.18684192
2018-08-15,29407681.8695595
2018-08-17,26889058.889590234
2018-08-20,26770775.520930283
2018-08-22,27456362.469025806
2018-08-25,27180763.69151624
2018-08-27,46783498.94213594
2018-08-30,27728124.24363538
2018-09-01,27728124.24363538
2018-09-04,25479245.18009546
2018-09-06,25197733.40544668
2018-09-09,21475711.44380974
2018-09-11,24342117.980887286
2018-09-16,24356316.46423354
2018-09-19,23575872.61152714
2018-09-21,23875509.39694028
2018-09-24,23171090.86834232
2018-09-26,20060902.178821683
2018-09-29,23634271.23518207
2018-10-01,22723238.66554265
2018-10-04,22445758.357565526
2018-10-06,22521293.61704871
2018-10-09,25161736.62878348
2018-10-16,27778110.08535868
2018-10-19,31908416.10012601
2018-10-24,23575872.61152714
2018-10-29,28146658.59141099
2018-11-03,27319659.421731465
2018-11-13,27943329.956371754
2018-11-28,34570456.25516005
2018-12-03,29244003.38335685
2018-12-05,32876119.108769592
2018-12-10,32784968.24020186
2018-12-13,31243734.95802191
2018-12-15,27640739.489188075
2018-12-20,29315565.786782134
2018-12-23,32163163.060898073
2018-12-28,32803725.957458865
2018-12-30,27138657.41548224
2019-01-02,34858586.17353854
2019-01-04,29124044.99541113
2019-01-07,34133322.925630085
2019-01-09,31509433.362913135
2019-01-12,31948164.551667143
2019-01-14,30092051.881386198
2019-01-22,25803263.011387717
2019-01-27,31301529.821976807
2019-02-03,32048953.077312138
2019-02-06,31388305.717663117
2019-02-08,30670847.469759192
2019-02-13,31259492.770840403
2019-02-21,31235857.295670416
2019-02-26,31225355.036079906
2019-03-03,30913587.664887235
2019-03-08,27222897.21907957
2019-03-10,30148948.00977055
2019-03-13,30655214.25419849
2019-03-15,30343249.18684192
2019-03-18,32616350.426972825
2019-03-20,30900516.798119765
2019-03-23,32648440.11539651
2019-03-25,30527667.586092055
2019-03-28,30478270.46581036
2019-03-30,30299161.91546013
2019-04-12,30772544.47052135
2019-04-14,30270649.12082468
2019-04-19,5411171.925665217
2019-04-22,36361724.314215824
2019-04-27,31704699.4179823
2019-04-29,32632393.62427459
2019-05-02,34266948.252059035
2019-05-07,31312042.769989666
2019-05-12,32935155.377366204
2019-05-14,31855450.30746009
2019-05-19,31728482.338838037
2019-05-22,34474634.9209256
2019-05-24,30299161.91546013
2019-05-27,33592883.00265776
2019-05-29,31746985.31373513
2019-06-01,30910973.306897916
2019-06-06,31057519.48424217
2019-06-08,23690390.653842065
2019-06-11,31235857.295670416
2019-06-18,31057519.48424217
2019-06-21,34756940.753780805
2019-06-23,27903239.092490513
2019-06-26,29556344.820633516
2019-06-28,26228991.581892952
2019-07-01,30973743.37506735
2019-07-03,24591090.246243116
2019-07-08,25008391.8784887
2019-07-11,24776725.368642252
2019-07-13,24548334.173983112
2019-07-16,24280631.17138505
2019-07-18,24280631.17138505
2019-07-21,26214347.039105758
2019-07-23,23716130.62358406
2019-07-26,22468636.640939932
2019-07-28,23025254.268420417
2019-07-31,22137854.72816878
2019-08-02,22838315.318336017
2019-08-05,22516712.706670966
2019-08-10,22608404.82217695
2019-08-12,22288163.537910245
2019-08-15,21624130.317758147
2019-08-17,22377181.906465843
2019-08-20,21383726.844044115
2019-08-22,21752653.53536846
2019-08-25,20611838.800380576
2019-08-27,22358909.65124166
2019-08-30,20904071.06554128
2019-09-01,22285882.963902712
2019-09-06,22519003.113225587
2019-09-09,20600803.175533
2019-09-11,21759426.722266763
2019-09-16,21124371.437176496
2019-09-19,20755526.384011313
2019-09-24,19880092.768787194
2019-09-26,21863392.471522372
2019-09-29,19393390.09971561
2019-10-01,22115117.72063797
2019-10-04,21520641.78741424
2019-10-06,22951325.816865116
2019-10-09,21633139.11488579
2019-10-16,24141344.343121573
2019-10-21,21318764.13288924
2019-10-24,19925775.131100815
2019-10-26,31351479.45154431
2019-10-29,27850656.310335238
2019-11-18,30712552.31246855
2019-11-23,39357343.50396324
2019-11-30,28719755.94032836
2019-12-03,38800889.2126985
2019-12-05,24612479.93068895
2019-12-08,33107148.613329895
2019-12-10,31805166.838188525
2019-12-15,20089283.614859995
2019-12-23,24824417.97932954
2019-12-25,26380518.414855935
2019-12-28,25609613.86804949
2019-12-30,20395990.59728097
2020-01-02,26356053.95592721
2020-01-04,20041263.30705047
2020-01-07,31013001.66237942
2020-01-09,23753591.410255674
2020-01-12,32897581.726058397
2020-01-27,28232189.74564918
2020-01-29,21160066.017068032
2020-02-03,27915764.90577977
2020-02-06,28938135.03762409
2020-02-16,30725589.927838303
2020-02-18,19767163.024197325
