date,value
2018-01-04,17176913.423179884
2018-01-05,11059521.57917921
2018-01-11,35360374.282430425
2018-01-16,19797540.76098562
2018-01-17,20464166.511929117
2018-01-23,20045626.80672449
2018-01-28,21951699.362616602
2018-01-29,16612175.499602573
2018-02-04,21408389.457109176
2018-02-09,12463128.656119732
2018-02-09,17332672.259809192
2018-02-10,12040349.212023191
2018-02-16,16932174.89735799
2018-02-21,17726706.523816027
2018-02-22,13336078.327562433
2018-02-28,20508201.372418284
2018-03-05,24612479.93068895
2018-03-05,17260868.294083726
2018-03-06,17683202.52288305
2018-03-12,28628546.58587694
2018-03-17,29836574.89086537
2018-03-17,29939688.418346517
2018-03-18,34477371.132186584
2018-03-23,37939664.95461149
2018-03-24,38470897.438536905
2018-03-29,37939664.95461149
2018-03-30,36908989.10179665
2018-04-04,37658170.80617854
2018-04-05,36364522.08951675
2018-04-10,38720435.023112915
2018-04-11,41134829.627019234
2018-04-16,40591405.940625906
2018-04-17,39273520.058569826
2018-04-22,36661595.727214545
2018-04-23,37403026.99984753
2018-04-28,38996568.14260645
2018-04-29,39273520.058569826
2018-05-04,39542597.14081172
2018-05-04,40591405.940625906
2018-05-05,38996568.14260645
2018-05-11,39780483.93274886
2018-05-16,40887711.92576043
2018-05-17,40281399.657666475
2018-05-22,41835402.463353954
2018-05-23,40591405.940625906
2018-05-28,41134829.627019234
2018-05-29,39780483.93274886
2018-06-03,40887711.92576043
2018-06-04,40591405.940625906
2018-06-09,39542597.14081172
2018-06-09,42150336.157038964
2018-06-10,40887711.92576043
2018-06-15,42469240.44860155
2018-06-16,40281399.657666475
2018-06-21,38996568.14260645
2018-06-21,38470897.438536905
2018-06-22,38470897.438536905
2018-07-03,37658170.80617854
2018-07-04,35790079.75770715
2018-07-15,34477371.132186584
2018-07-15,36908989.10179665
2018-07-16,33379335.88130608
2018-07-27,30605731.028191485
2018-07-27,31961418.62649336
2018-07-28,30408132.022291828
2018-08-08,28727362.187164973
2018-08-08,30094637.095518436
2018-08-09,27678175.996443726
2018-08-20,25939179.62965498
2018-08-20,27528556.933963753
2018-08-21,25939179.62965498
2018-09-01,24531715.202769767
2018-09-01,26854537.08427772
2018-09-02,23566534.430154078
2018-09-13,23866121.839361157
2018-09-14,21565611.330556154
2018-09-25,24406038.374910012
2018-09-26,21030792.912138082
2018-10-07,22201570.2367476
2018-10-08,21511652.58229812
2018-10-19,22201570.2367476
2018-10-19,25450312.093834173
2018-10-20,25192932.59385207
2018-10-31,21238235.609016735
2018-10-31,29939688.418346517
