date,value
2018-01-02,7716700
2018-01-12,7976100
2018-01-17,7647700
2018-01-19,7944300
2018-01-22,7717900
2018-01-24,8031200
2018-01-27,7823600
2018-01-29,7941300
2018-02-08,7709600
2018-02-11,8027600
2018-02-13,7685300
2018-02-16,7640000
2018-02-21,7556800
2018-02-26,7976000
2018-03-15,4505600
2018-03-20,7441400
2018-03-28,7421100
2018-04-02,7719500
2018-04-04,7151500
2018-04-14,7614300
2018-04-17,7541100
2018-04-19,7479600
2018-04-22,7806000
2018-04-24,7679100
2018-04-27,7117200
2018-05-02,7488800
2018-05-04,8074300
2018-05-07,8264900
2018-05-12,6956600
2018-05-14,7923400
2018-05-19,8203800
2018-05-22,8307900
2018-05-24,8850300
2018-06-03,8174200
2018-06-13,7487700
2018-06-16,8458300
2018-06-21,8488000
2018-06-23,7477000
2018-06-26,8318300
2018-06-28,7546500
2018-07-01,7665200
2018-07-03,7207700
2018-07-06,7985300
2018-07-08,7296200
2018-07-11,7794900
2018-07-13,7569300
2018-07-16,7954000
2018-07-18,7451000
2018-07-21,7897200
2018-07-23,7652000
2018-07-26,8178500
2018-07-28,7553800
2018-07-31,7630200
2018-08-02,7349600
2018-08-05,7636200
2018-08-07,7321900
2018-08-10,7052800
2018-08-12,7272000
2018-08-15,7151800
2018-08-17,7231400
2018-08-20,7270600
2018-08-22,7257400
2018-08-25,7141200
2018-08-27,7595000
2018-08-30,6912200
2018-09-01,7204600
2018-09-04,7310200
2018-09-06,6839000
2018-09-09,7415300
2018-09-14,7280900
2018-09-16,7024500
2018-09-19,7205300
2018-09-21,7153600
2018-09-24,7422700
2018-09-26,7072100
2018-09-29,7249500
2018-10-01,7294800
2018-10-04,7316100
2018-10-06,7543900
2018-10-09,7496300
2018-10-14,6943900
2018-10-16,4437400
2018-10-19,8045100
2018-10-24,7463000
2018-10-29,7731700
2018-11-03,7782600
2018-11-13,7830300
2018-11-15,8095500
2018-11-30,7178000
2018-12-03,7447700
2018-12-05,7716700
2018-12-08,8000800
2018-12-10,7473400
2018-12-13,6563900
2018-12-15,7470800
2018-12-20,7236800
2018-12-23,7319800
