date,value
2018-01-02,10336900
2018-01-12,8450300
2018-01-17,10343600
2018-01-22,10311600
2018-01-27,10522500
2018-02-06,10937700
2018-02-11,10674600
2018-02-16,10711400
2018-02-21,10422900
2018-03-28,12821800
2018-04-02,11862800
2018-04-17,12885900
2018-04-27,12777400
2018-05-02,12612500
2018-05-07,12798700
2018-05-12,12740000
2018-05-22,12853600
2018-06-01,12834900
2018-06-16,12559600
2018-06-21,12539900
2018-06-26,12374100
2018-07-01,11713400
2018-07-06,12152900
2018-07-11,12196300
2018-07-16,12206400
2018-07-21,12048700
2018-07-26,12296100
2018-07-31,11929100
2018-08-05,12133400
2018-08-10,11872200
2018-08-15,11672100
2018-08-20,11830800
2018-08-25,11864600
2018-08-30,11806100
2018-09-04,13320100
2018-09-09,11490700
2018-09-14,10617600
2018-09-19,11509800
2018-09-24,11642400
2018-09-29,11556700
2018-10-04,11511700
2018-10-09,11340200
2018-10-14,11788400
2018-10-19,11687900
2018-10-24,11784300
2018-10-29,12161700
2018-11-03,11839800
2018-11-13,12256100
2018-11-23,12093500
2018-11-28,12387600
2018-12-13,12135900
2018-12-23,12167600
2018-12-28,12229600
2019-01-02,11805700
2019-01-07,12377500
2019-01-12,12156300
2019-01-27,12350000
2019-02-01,12057800
2019-02-06,12287700
2019-02-11,12229600
2019-02-21,12275100
2019-02-26,12319600
2019-03-03,12272500
2019-03-13,12174600
2019-03-18,12176900
2019-03-23,12441900
2019-03-28,12125100
2019-04-12,12071800
2019-04-22,12011200
2019-04-27,12372100
2019-05-02,12265500
2019-05-07,11761000
2019-05-12,11841800
2019-05-22,11578400
2019-05-27,11415200
2019-06-01,12137100
2019-06-06,11470100
2019-06-11,11518000
2019-06-21,11804400
2019-06-26,11544500
2019-07-01,11602500
2019-07-06,13345300
2019-07-11,11726800
2019-07-16,11714100
2019-07-21,11667400
2019-07-26,12137000
2019-07-31,11525100
2019-08-05,11366100
2019-08-10,11420100
2019-08-15,11210600
2019-08-20,11405100
2019-08-25,11208800
2019-08-30,11653900
2019-09-04,10813100
2019-09-09,10897900
2019-09-14,10842200
2019-09-19,11204000
2019-09-24,10959200
2019-09-29,11187200
2019-10-04,10798000
2019-10-09,10933300
2019-10-24,10572400
2019-10-29,10711400
2019-11-08,10762500
2019-11-18,10816100
2019-11-23,10955000
2019-12-03,10940200
2019-12-08,10852600
2019-12-23,11726800
2019-12-28,11633500
2020-01-02,11846900
2020-01-07,11661800
2020-01-12,11889400
2020-02-01,12612500
2020-02-11,12936400
2020-02-16,12641100
2020-02-21,12834900
2020-03-02,12918800
2020-03-07,12031900
2020-03-27,12631800
2020-04-01,12448000
2020-05-01,12657400
2020-05-06,12950700
2020-05-16,11834700
2020-05-21,12631800
2020-05-26,12740000
2020-06-05,12346100
2020-06-10,12161700
2020-06-15,12156300
2020-06-20,11868300
2020-06-25,12077300
2020-06-30,11515800
2020-07-05,11594100
2020-07-10,11480500
2020-07-15,11482800
2020-07-20,11544500
2020-07-25,11859100
2020-07-30,11706000
2020-08-04,11723800
2020-08-09,11794400
2020-08-14,11617700
2020-08-19,11689500
2020-08-24,11755200
2020-08-29,11651900
2020-09-03,11853200
2020-09-08,11514000
2020-09-13,11589500
2020-09-23,11059300
2020-09-28,11397300
2020-10-03,11156800
2020-10-08,11078600
2020-10-13,11169000
2020-10-23,10808200
2020-11-02,10967200
2020-11-07,11071900
2020-11-17,11034000
2020-11-22,10885900
2020-12-02,10786600
2020-12-22,10893100
2020-12-27,10786600
