date,value
2018-01-03,9773000
2018-01-04,10333900
2018-01-05,10001800
2018-01-09,10163000
2018-01-10,10030300
2018-01-11,10030300
2018-01-15,10001800
2018-01-16,10343200
2018-01-17,10043600
2018-01-21,10105800
2018-01-22,9985000
2018-01-23,9985000
2018-01-27,9955300
2018-01-28,9955300
2018-01-29,9955300
2018-02-02,10163000
2018-02-03,9904200
2018-02-04,9904200
2018-02-08,9792800
2018-02-09,9904200
2018-02-10,9904200
2018-02-14,10138500
2018-02-15,10001800
2018-02-16,10001800
2018-02-20,9985000
2018-02-21,10183900
2018-02-22,10043600
2018-02-26,10138500
2018-02-27,10016300
2018-02-28,10016300
2018-03-04,10323000
2018-03-05,11443100
2018-03-06,11353100
2018-03-10,11880700
2018-03-11,11833800
2018-03-12,11833800
2018-03-16,12221500
2018-03-17,12365200
2018-03-18,12286200
2018-03-22,12343600
2018-03-23,12239500
2018-03-24,12239500
2018-03-28,12049200
2018-03-29,12101800
2018-03-30,12101800
2018-04-03,11860400
2018-04-04,12031400
2018-04-05,12031400
2018-04-09,11921600
2018-04-10,12136800
2018-04-11,12043400
2018-04-15,12232700
2018-04-16,12125500
2018-04-17,12125500
2018-04-21,12119800
2018-04-22,12256800
2018-04-23,12165800
2018-04-27,12226600
2018-04-28,12088800
2018-04-29,12088800
2018-05-03,11946100
2018-05-04,12114300
2018-05-05,12019000
2018-05-09,12144000
2018-05-10,12071300
2018-05-11,12071300
2018-05-15,12083800
2018-05-16,12232700
2018-05-17,12144000
2018-05-21,12245200
2018-05-22,12132000
2018-05-23,12132000
2018-05-27,12043400
2018-05-28,12155100
2018-05-29,12088800
2018-06-02,12155100
2018-06-03,12059400
2018-06-04,12059400
2018-06-08,11988900
2018-06-09,12083800
2018-06-10,11976800
2018-06-14,12031400
2018-06-15,11921600
2018-06-16,11921600
2018-06-20,11847200
2018-06-21,12251300
2018-06-22,12251300
2018-06-26,11872300
2018-06-27,12031400
2018-06-28,12031400
2018-07-02,11734900
2018-07-03,11885600
2018-07-04,11707700
2018-07-08,11821900
2018-07-09,11693500
2018-07-10,11693500
2018-07-14,11601900
2018-07-15,11808900
2018-07-16,11587800
2018-07-20,11615700
2018-07-21,11507500
2018-07-22,11507500
2018-07-26,11528700
2018-07-27,11667000
2018-07-28,11587800
2018-08-01,11674300
2018-08-02,11542400
2018-08-03,11542400
2018-08-07,11324600
2018-08-08,11587800
2018-08-09,11380100
2018-08-13,11463100
2018-08-14,11305800
2018-08-15,11305800
2018-08-19,11082000
2018-08-20,11275800
2018-08-21,11119700
2018-08-25,11119700
2018-08-26,10963000
2018-08-27,10963000
2018-08-31,10760200
2018-09-01,11045100
2018-09-02,10871200
2018-09-06,11001800
2018-09-07,10880400
2018-09-08,10880400
2018-09-12,10770100
2018-09-13,10963000
2018-09-14,10863100
2018-09-18,11067400
2018-09-19,10946100
2018-09-20,10946100
2018-09-24,10994000
2018-09-25,11169500
2018-09-26,11037600
2018-09-30,11177900
2018-10-01,11037600
2018-10-02,11037600
2018-10-06,10963000
2018-10-07,11169500
2018-10-08,11030800
2018-10-12,11134900
2018-10-13,10986600
2018-10-14,10986600
2018-10-18,11009900
2018-10-19,11298700
2018-10-20,11140700
2018-10-24,11345700
2018-10-25,11245000
2018-10-26,11245000
2018-10-30,11238700
2018-10-31,11528700
2018-11-01,11443100
2018-11-05,11687500
2018-11-06,11528700
2018-11-07,11528700
2018-11-11,11430100
2018-11-12,11560700
2018-11-13,11422900
2018-11-17,11542400
2018-11-18,11471500
2018-11-19,11471500
2018-11-23,11681100
2018-11-24,11939700
2018-11-25,11802300
2018-11-29,12043400
2018-11-30,11928300
2018-12-01,11928300
2018-12-05,11921600
2018-12-06,12037800
2018-12-07,12037800
2018-12-11,11904000
2018-12-12,12025400
2018-12-13,12025400
2018-12-17,11946100
2018-12-18,12160900
2018-12-19,12037800
2018-12-23,12101800
2018-12-24,11928300
2018-12-25,11928300
2018-12-29,11707700
2018-12-30,11939700
2019-01-04,11687500
2019-01-05,11928300
2019-01-06,11742400
2019-01-10,11821900
2019-01-11,11853400
2019-01-12,11853400
2019-01-16,11885600
2019-01-17,11880700
2019-01-18,11880700
2019-01-22,11892100
2019-01-23,11921600
2019-01-24,11921600
2019-01-28,11957300
2019-01-29,12013400
2019-01-30,12013400
2019-02-03,12031400
2019-02-04,12031400
2019-02-05,12031400
2019-02-09,12037800
2019-02-10,12053900
2019-02-11,12053900
2019-02-15,12049200
2019-02-16,12043400
2019-02-17,12043400
2019-02-21,11982100
2019-02-22,11982100
2019-02-23,11982100
2019-02-27,11939700
2019-02-28,11921600
2019-03-01,11921600
2019-03-05,11880700
2019-03-06,11892100
2019-03-07,11892100
2019-03-11,11904000
2019-03-12,11880700
2019-03-13,11880700
2019-03-17,11808900
2019-03-18,11762100
2019-03-19,11762100
2019-03-23,11659300
2019-03-24,11659300
2019-03-25,11659300
2019-03-29,11623700
2019-03-30,11581300
2019-03-31,11581300
2019-04-04,11507500
2019-04-05,11609400
2019-04-06,11609400
2019-04-10,11681100
2019-04-11,11687500
2019-04-12,11687500
2019-04-16,11646100
2019-04-17,11653200
2019-04-22,11623700
2019-04-23,11638700
2019-04-24,11638700
2019-04-28,11653200
2019-04-29,11609400
2019-04-30,11609400
2019-05-04,11568100
2019-05-05,11587800
2019-05-06,11587800
2019-05-10,11542400
2019-05-11,11478700
2019-05-12,11478700
2019-05-16,11318100
2019-05-17,11219400
2019-05-18,11219400
2019-05-22,11177900
2019-05-23,11184500
2019-05-24,11184500
2019-05-28,11290600
2019-05-29,11238700
2019-05-30,11238700
2019-06-03,11245000
2019-06-04,11231500
2019-06-05,11231500
2019-06-09,11275800
2019-06-10,11275800
2019-06-11,11275800
2019-06-15,11290600
2019-06-16,11251900
2019-06-17,11251900
2019-06-21,11196000
2019-06-22,11536500
2019-06-23,11177900
2019-06-27,11290600
2019-06-28,11283100
2019-07-03,11360500
2019-07-04,11337700
2019-07-05,11337700
2019-07-09,11368500
2019-07-10,11337700
2019-07-11,11337700
2019-07-15,11298700
2019-07-16,11283100
2019-07-17,11283100
2019-07-21,11258600
2019-07-22,11203900
2019-07-23,11203900
2019-07-27,11126900
2019-07-28,11067400
2019-07-29,11067400
2019-08-02,10955000
2019-08-03,10955000
2019-08-04,10955000
2019-08-08,10834200
2019-08-09,10779300
2019-08-10,10779300
2019-08-14,10615200
2019-08-15,10553500
2019-08-16,10553500
2019-08-20,10451400
2019-08-21,10469100
2019-08-22,10469100
2019-08-26,10414800
2019-08-27,10414800
2019-08-28,10414800
2019-09-01,10380700
2019-09-02,10405700
2019-09-03,10405700
2019-09-07,10423400
2019-09-08,10443300
2019-09-09,10443300
2019-09-13,10588100
2019-09-14,10622600
2019-09-15,10622600
2019-09-19,10724000
2019-09-20,10534400
2019-09-21,10534400
2019-09-25,10333900
2019-09-26,10280400
2019-09-27,10280400
2019-10-01,10217600
2019-10-02,10301000
2019-10-03,10301000
2019-10-07,10414800
2019-10-08,10362100
2019-10-09,10362100
2019-10-13,10343200
