date,value
2018-01-03,100988782.55527864
2018-01-04,108412811.73367855
2018-01-04,112062548.63674454
2018-01-09,105814117.10916317
2018-01-10,110523955.08478115
2018-01-15,103023193.13874272
2018-01-16,113286928.72263597
2018-01-21,103023193.13874272
2018-01-22,112855328.74379404
2018-01-27,104282765.86040075
2018-01-28,113286928.72263597
2018-01-28,120051795.32917029
2018-02-02,102472950.59264146
2018-02-03,107936901.89039092
2018-02-08,100988782.55527864
2018-02-09,112321800.04469444
2018-02-14,105602294.43548651
2018-02-15,112699830.01026186
2018-02-20,103315809.08993286
2018-02-21,111067402.73991954
2018-02-21,113415390.87941158
2018-02-26,102755721.69212925
2018-02-27,114989734.44793032
2018-03-04,129296657.84759267
2018-03-05,132897599.25847787
2018-03-05,136153895.35910988
2018-03-10,140212576.9971829
2018-03-11,145502049.43124992
2018-03-16,141088778.83265263
2018-03-17,145019144.39161384
2018-03-17,145992471.08809286
2018-03-22,137716442.10476893
2018-03-23,143280238.65550548
2018-03-28,136768635.07717353
2018-03-29,136056645.75260323
2018-04-03,135008839.51928797
2018-04-04,141603612.36620685
2018-04-09,135439563.22954082
2018-04-10,144655138.72602955
2018-04-15,140591812.4244802
2018-04-16,141282200.4253658
2018-04-21,138609768.23717538
2018-04-22,144220123.6333321
2018-04-27,136975461.90024576
2018-04-28,141282200.4253658
2018-05-03,136464565.74112925
2018-05-04,141176843.84761262
2018-05-04,141498176.40313008
2018-05-09,138299201.9019277
2018-05-10,142425519.8418904
2018-05-15,138503360.40525523
2018-05-16,143691730.58284578
2018-05-21,138609768.23717538
2018-05-22,141603612.36620685
2018-05-27,136975461.90024576
2018-05-28,140769480.18537146
2018-05-28,143014799.7603013
2018-06-02,136768635.07717353
2018-06-03,140676324.70815912
2018-06-08,137415098.67887923
2018-06-09,138024860.41924095
2018-06-09,139147369.40081757
2018-06-14,135245425.91584197
2018-06-15,139027079.2475248
2018-06-20,134447709.67775646
2018-06-21,138803774.73263294
2018-06-26,132650540.85541463
2018-06-27,138024860.41924095
2018-07-02,133231200.24635811
2018-07-03,137206341.30162933
2018-07-08,132523686.53311586
2018-07-09,136251167.98926872
2018-07-14,127863479.393129
2018-07-15,135102436.42994517
2018-07-20,129080337.89522655
2018-07-21,134447709.67775646
2018-07-26,129833783.37266874
2018-07-27,133780466.18863732
2018-07-27,136551663.80644023
2018-08-01,127167227.08944544
2018-08-02,132202502.31264292
2018-08-07,125077750.00184955
2018-08-08,132310661.8346849
2018-08-13,124792505.50510421
2018-08-14,129197705.92039718
2018-08-19,118704094.22426161
2018-08-20,124567116.17979302
2018-08-20,129080337.89522655
2018-08-25,117189301.7171911
2018-08-26,124143220.37908779
