date,value
2018-01-02,114470776.63145064
2018-01-12,114630334.11828528
2018-01-17,115770823.87817916
2018-01-19,119913110.52966794
2018-01-22,181908785.91787958
2018-01-24,114829476.28749435
2018-01-27,131867942.74284378
2018-01-29,116557561.98197529
2018-02-08,116345823.01819262
2018-02-11,141737398.8965131
2018-02-13,114321157.81174442
2018-02-16,110774848.05214947
2018-02-18,60478731.32981972
2018-02-21,121683660.98528652
2018-03-15,158716257.7406341
2018-03-20,160475863.7249284
2018-03-28,166102442.75220913
2018-04-02,167447305.54183525
2018-04-14,154833910.22743273
2018-04-17,169685055.69288337
2018-04-19,169581580.31440824
2018-04-27,170685173.22672975
2018-04-29,167250675.68809474
2018-05-02,151369830.55979088
2018-05-04,175639655.08171728
2018-05-07,160887700.48885122
2018-05-12,165037054.3238565
2018-05-14,176588671.0464247
2018-05-19,177029470.84253237
2018-05-22,176588671.0464247
2018-05-24,181046246.3925186
2018-06-03,176224484.2369097
2018-06-13,168825925.34748307
2018-06-16,179415508.59248918
2018-06-21,179804966.61850452
2018-06-23,170458982.1581429
2018-06-26,179058918.963096
2018-06-28,169685055.69288337
2018-07-01,161307295.1641422
2018-07-03,161307295.1641422
2018-07-06,172165477.38506037
2018-07-08,159800717.42403388
2018-07-11,166412610.1310255
2018-07-13,157984896.3305902
2018-07-16,166102442.75220913
2018-07-18,156223741.0696158
2018-07-21,164586231.68000907
2018-07-23,154686228.48031697
2018-07-26,165659956.58990598
2018-07-28,155262642.34222183
2018-07-31,156633645.8611404
2018-08-02,154367327.60861832
2018-08-05,158313682.22434488
2018-08-07,151304694.4670695
2018-08-10,150328804.69259146
2018-08-12,150059911.85016814
2018-08-15,146883680.99444517
2018-08-17,148453612.1472676
2018-08-20,149836260.83617967
2018-08-22,147071771.1419231
2018-08-25,139927916.4931063
2018-08-27,147896754.9983289
2018-08-30,143101939.87670246
2018-09-01,147631153.18534282
2018-09-04,146838909.7633009
2018-09-06,134484853.01794392
2018-09-09,143535272.24527475
2018-09-11,147426679.37666062
2018-09-14,147568365.82629073
2018-09-16,132790770.20991297
2018-09-19,136435910.76197702
2018-09-21,135678735.29358014
2018-09-24,144066892.77453476
2018-09-26,134775159.52096707
2018-09-29,139113171.00857735
2018-10-01,139581054.81314775
2018-10-04,140273309.5913754
2018-10-06,140964969.06249672
2018-10-09,136001318.15281874
2018-10-14,167059739.52051678
2018-10-16,168568664.99425313
2018-10-24,135788558.40940455
2018-10-29,142945766.07189587
2018-11-03,131174683.71226896
2018-11-13,135347706.84876063
2018-11-28,142638912.68559396
2018-11-30,133190652.52482621
2018-12-03,133317107.76684375
2018-12-05,137644430.6045028
2018-12-08,132161487.87385547
2018-12-10,134224281.28237903
2018-12-13,45753467.49891288
2018-12-15,131202252.21933655
2018-12-20,142970608.00224757
2018-12-23,142970608.00224757
2018-12-30,134863858.67354894
2019-01-02,135077862.27112082
2019-01-04,138575593.82617405
2019-01-07,139787023.44623905
2019-01-09,137408036.78082904
2019-01-12,133190652.52482621
2019-01-14,136074589.67263132
2019-01-27,130577279.5064492
2019-01-29,118780428.34636316
2019-02-01,132339450.28377223
2019-02-03,136570398.84125564
2019-02-06,134566534.39199123
2019-02-08,135989107.5454001
2019-02-11,132126941.56463414
2019-02-13,139028798.09948602
2019-02-21,135173592.4858108
2019-02-26,134111420.56038208
2019-02-28,136879718.56173527
2019-03-03,134881253.0049654
2019-03-10,137110553.4575481
2019-03-13,134903866.78302512
2019-03-15,138510640.92614987
2019-03-18,133566674.04893501
2019-03-20,133358691.05878043
2019-03-25,134015948.39517923
2019-03-28,135785071.49413455
