date,value
2018-01-05,123564340.23051076
2018-01-10,113920312.5953135
2018-01-11,109071877.49732009
2018-01-11,108430347.09899163
2018-01-17,106649952.25317565
2018-01-22,108430347.09899163
2018-01-23,113285534.30229722
2018-01-23,110347447.63928029
2018-01-29,127879181.10773471
2018-02-03,118917022.34714828
2018-02-03,116665136.08449045
2018-02-04,138429903.19905496
2018-02-10,111525379.95682564
2018-02-15,109815208.48417646
2018-02-16,106135109.72909081
2018-02-16,105624319.88188331
2018-02-22,128403916.51740552
2018-02-27,118917022.34714828
2018-02-27,104940322.25394501
2018-02-28,110630151.18779169
2018-03-06,129335544.30868247
2018-03-11,157108056.09758887
2018-03-12,155014475.59679237
2018-03-17,171898926.81445256
2018-03-18,171898926.81445256
2018-03-23,185982234.31723708
2018-03-24,184168003.63960817
2018-03-29,179659125.84321296
2018-03-30,182346366.6526029
2018-04-04,177757325.1524896
2018-04-04,180571294.51167172
2018-04-05,180571294.51167172
2018-04-10,184168003.63960817
2018-04-11,184168003.63960817
2018-04-16,185982234.31723708
2018-04-16,187810331.33231953
2018-04-17,188794970.3813802
2018-04-22,189797009.49734253
2018-04-23,192810061.32737347
2018-04-28,190806737.3858277
2018-04-28,189797009.49734253
2018-04-29,193868557.7793931
2018-05-04,187810331.33231953
2018-05-05,181496594.32597777
2018-05-10,185045285.08334038
2018-05-10,185982234.31723708
2018-05-11,182346366.6526029
2018-05-16,183303740.76658547
2018-05-17,180571294.51167172
2018-05-22,185045285.08334038
2018-05-23,183303740.76658547
2018-05-28,188794970.3813802
2018-05-29,182346366.6526029
2018-06-03,185982234.31723708
2018-06-03,185045285.08334038
2018-06-04,185045285.08334038
2018-06-09,184168003.63960817
2018-06-10,178685335.65871283
2018-06-15,179659125.84321296
2018-06-16,183303740.76658547
2018-06-22,176838602.27635196
2018-06-27,175910079.71582967
2018-06-28,171898926.81445256
2018-07-04,169865718.9895158
2018-07-09,171898926.81445256
2018-07-09,166698662.53993103
2018-07-10,167784569.10965428
2018-07-16,163745329.8311637
2018-07-21,166698662.53993103
2018-07-22,161055863.15014672
2018-07-28,157108056.09758887
2018-08-02,160263622.69388315
2018-08-02,156412178.44388315
2018-08-03,157108056.09758887
2018-08-09,154370970.91812515
2018-08-14,155673510.3935905
2018-08-14,153054016.55189455
2018-08-15,152415125.0476247
2018-08-21,151208817.11773068
2018-08-26,151795260.04945996
2018-08-27,152415125.0476247
2018-08-27,149526224.20925495
