date,value
2019-02-14,636900
2019-02-17,640700
2019-02-24,657500
2019-02-27,650300
2019-03-21,682800
2019-03-24,659900
2019-03-29,688000
2019-04-15,676100
2019-04-18,698900
2019-04-20,686400
2019-05-15,696900
2019-06-02,669100
2019-06-04,654000
2019-06-17,641700
2019-06-27,606900
2019-06-29,597800
2019-07-04,566200
2019-07-09,586600
2019-07-17,552900
2019-07-24,506700
2019-08-01,508200
2019-08-21,339200
2019-08-23,286800
2019-08-31,267300
2019-09-12,237700
2019-09-20,221500
2019-10-12,182100
2020-02-07,182900
2020-03-15,218100
2020-03-23,253000
2020-03-25,246600
2020-03-28,266300
2020-04-02,267400
2020-04-04,244600
2020-04-07,263100
2020-04-09,260900
2020-04-14,277000
2020-04-17,280000
2020-04-22,268500
2020-05-07,321300
2020-05-09,334900
2020-05-17,331700
2020-05-19,309300
2020-05-27,303700
2020-06-01,317100
2020-06-23,298300
2020-07-01,313700
2020-07-23,283000
2020-07-31,262900
2020-08-05,278600
2020-08-07,257400
2020-08-12,290600
2020-09-04,262200
2020-09-09,248100
2020-09-14,244900
2020-10-19,280500
2020-11-18,270300
2021-02-11,294800
2021-02-21,399000
2021-02-23,435700
2021-02-28,439800
2021-03-08,448900
2021-03-30,516500
2021-04-04,523900
2021-04-24,545600
2021-04-27,560400
2021-05-09,588900
2021-05-24,607600
2021-06-13,580800
2021-06-18,563100
2021-07-18,563500
2021-07-23,540700
2021-09-24,286500
2021-10-09,286600
2021-10-14,289200
2021-10-24,285900
2021-10-29,292100
2022-02-13,245900
2022-02-28,349300
2022-03-03,354600
2022-03-05,373800
2022-03-08,379000
2022-03-10,370800
2022-03-20,418400
2022-03-23,399300
2022-03-25,414000
2022-03-28,424100
2022-04-17,504700
2022-04-22,498000
2022-06-18,547500
2022-06-23,551300
2022-07-03,523600
2022-07-08,524700
2022-07-11,535100
2022-07-13,569100
2022-07-16,543600
2022-07-18,510200
2022-08-07,470700
2022-08-10,500100
2022-08-12,504600
2022-08-17,473000
2022-08-25,491900
