date,value
2019-01-26,1141938.102930317
2019-01-28,1141938.102930317
2019-02-03,110.4113587332225
2019-02-15,2419312.405107202
2019-02-17,2419312.405107202
2019-02-18,2419312.405107202
2019-02-20,2444743.788477751
2019-02-22,2444743.788477751
2019-02-23,2444743.788477751
2019-02-25,2418158.9804324172
2019-02-27,2418158.9804324172
2019-03-07,2391691.4348322623
2019-03-12,2487756.078820487
2019-03-20,2301677.7475877344
2019-03-22,2432014.7007445428
2019-03-24,2349359.8944727955
2019-03-25,2349359.8944727955
2019-03-27,2480760.5840646094
2019-03-29,2480760.5840646094
2019-03-30,2480760.5840646094
2019-04-01,2464468.6504631294
2019-04-08,2456338.912930966
2019-04-09,2456338.912930966
2019-05-01,2432014.7007445428
2019-05-06,2536946.514860818
2019-05-11,2536946.514860818
2019-05-13,2536946.514860818
2019-05-14,2536946.514860818
2019-05-16,2509960.8153434633
2019-05-23,2478430.5168352015
2019-05-31,2478430.5168352015
2019-07-05,2727875.2731550364
2019-07-08,2727875.2731550364
2019-07-10,2750917.8094581026
2019-07-12,2750917.8094581026
2019-07-13,2750917.8094581026
2019-07-15,2731508.3745651883
2019-07-17,2731508.3745651883
2019-07-22,2841405.1792135644
2019-07-23,2841405.1792135644
2019-07-25,2707324.52590699
2019-07-28,2808252.8140100082
2019-08-02,2591266.203954436
2019-08-04,2591266.203954436
2019-08-09,2422774.008933298
2019-08-14,2371059.661139655
2019-08-16,2371059.661139655
2019-08-17,2371059.661139655
2019-08-21,2395137.064507523
2019-08-22,2395137.064507523
2019-08-24,2290382.984904564
2019-08-26,2316394.3941901117
2019-08-29,2303939.386422752
2019-08-31,2237598.0238189762
2019-09-03,2237598.0238189762
2019-09-06,2237598.0238189762
2019-09-08,2235362.8658083426
2019-09-13,2151095.589735765
2019-09-15,2134618.343509501
2019-09-16,2134618.343509501
2019-09-20,2132425.2363334605
2019-09-21,2132425.2363334605
2019-10-08,1806669.8238284406
2019-10-11,1806669.8238284406
2019-10-13,1962055.9881420522
2019-10-15,1962055.9881420522
2019-10-25,1913533.764342567
2020-01-06,2286998.9234183566
2020-01-09,2286998.9234183566
2020-01-11,2347080.3871810893
2020-01-14,2347080.3871810893
2020-01-16,2274607.956478032
2020-01-19,2274607.956478032
2020-01-28,2144498.5645014797
2020-02-05,2208611.242931803
2020-02-07,2208611.242931803
2020-02-08,2208611.242931803
2020-02-15,2208611.242931803
2020-02-18,2208611.242931803
2020-02-20,2243189.8565010075
2020-02-22,2199722.8971938207
2020-03-11,2524025.8013526723
2020-03-13,2524025.8013526723
2020-03-18,2524025.8013526723
2020-03-21,2594824.888400185
2020-03-24,2594824.888400185
2020-03-26,2594824.888400185
2020-03-28,2555787.7096966477
2020-03-29,2555787.7096966477
2020-03-31,2555787.7096966477
2020-04-03,2555787.7096966477
2020-04-05,2591266.203954436
2020-04-08,2406636.9288012073
2020-04-10,2701292.111805018
2020-04-12,2701292.111805018
2020-04-15,2586524.3534471714
2020-04-25,2707324.52590699
2020-04-28,2610268.5878174244
2020-05-05,2609079.2999727624
2020-05-07,2609079.2999727624
2020-05-08,2609079.2999727624
2020-05-17,2607890.2305516
2020-05-18,2607890.2305516
2020-05-20,2893286.6959011327
2020-05-22,2842636.0545227076
2020-05-25,2887090.496087341
2020-05-27,2887090.496087341
2020-05-28,2887090.496087341
2020-05-30,2770382.5894211647
2020-06-12,2756994.611489613
2020-06-14,2799683.3659766815
2020-07-19,2713362.361574771
2020-07-21,2713362.361574771
2020-07-22,2713362.361574771
2020-07-24,2723034.169653924
2020-07-27,2723034.169653924
2020-07-29,2723034.169653924
2020-07-31,2723034.169653924
2020-08-03,2723034.169653924
2020-08-05,2622173.4753113217
2020-08-06,2622173.4753113217
2020-08-08,2719405.616465523
2020-08-10,2700086.279778982
2020-08-15,2648441.011211546
2020-08-20,2648441.011211546
2020-08-21,2648441.011211546
2020-08-23,2648441.011211546
2020-09-02,2213060.830923683
2020-09-04,2213060.830923683
2020-09-05,2213060.830923683
2020-09-07,2213060.830923683
2020-09-10,2213060.830923683
2020-09-12,2213060.830923683
2020-09-14,2213060.830923683
2020-09-17,2229778.9099645936
2020-09-19,2119285.6796004036
2020-09-29,2111636.0587570714
2020-09-30,2111636.0587570714
2020-11-11,1746575.7208717486
2020-11-14,1746575.7208717486
2020-11-16,1746575.7208717486
2020-11-18,1746575.7208717486
2020-11-19,1746575.7208717486
2020-11-21,1904097.6224655209
2020-11-23,1904097.6224655209
2020-11-26,1786207.1930644747
2020-11-29,1899909.817469309
2021-02-19,2491256.8025551327
2021-02-24,2654425.6138654384
2021-02-27,2654425.6138654384
2021-03-01,2488922.7663079775
2021-03-04,2655623.187555932
2021-03-09,2434327.0883281124
2021-03-31,2730297.124248209
2021-04-02,2730297.124248209
2021-04-03,2730297.124248209
2021-04-05,2852490.789007666
2021-04-07,2852490.789007666
2021-04-15,2862359.26275839
2021-04-17,2853723.597049393
2021-04-20,2853723.597049393
2021-04-22,2853723.597049393
2021-04-23,2853723.597049393
2021-05-20,2647244.743973981
2021-05-27,2647244.743973981
2021-05-28,2647244.743973981
2021-05-30,2647244.743973981
2021-06-14,2916881.0477430057
2021-06-16,2916881.0477430057
2021-06-19,2916881.0477430057
2021-06-21,2916881.0477430057
2021-07-19,2636488.1425312953
2021-07-21,2636488.1425312953
2021-07-22,2636488.1425312953
2021-07-29,2636488.1425312953
2021-08-28,2120379.3924205913
2021-08-30,2120379.3924205913
2021-08-31,2120379.3924205913
2021-09-05,2120379.3924205913
2021-09-07,2120379.3924205913
2021-09-12,2177565.2753112796
2021-09-17,2185310.1590110823
2021-09-22,2185310.1590110823
2021-10-07,2013208.621239587
2021-10-10,2013208.621239587
2021-10-12,2076808.4892261822
2021-10-14,2076808.4892261822
2021-10-17,1988631.7857669494
2021-10-19,2053000.1059972907
2021-10-20,2053000.1059972907
2021-10-24,1613152.7284611447
2021-10-27,1713321.837559771
2021-12-16,2191957.447595711
2021-12-18,2191957.447595711
2021-12-19,2191957.447595711
2021-12-21,1967359.6176353327
2022-01-15,2081149.165542616
2022-01-22,2081149.165542616
2022-01-23,2081149.165542616
2022-01-25,2142301.3710002657
2022-01-27,2085493.4933428233
2022-02-01,2085493.4933428233
2022-02-09,2129137.2791949217
2022-03-21,2455178.4056732394
2022-03-23,2455178.4056732394
2022-03-24,2455178.4056732394
2022-03-26,2460983.151710025
2022-04-05,2459821.760593534
2022-04-10,2450538.5869983956
2022-04-15,2580601.9632739034
2022-04-17,2580601.9632739034
2022-04-25,2580601.9632739034
2022-06-19,2856189.8570888527
2022-06-22,2831565.912434912
2022-06-24,2831565.912434912
2022-06-27,2831565.912434912
2022-06-29,2831565.912434912
2022-07-14,2457499.6411837605
2022-07-16,2457499.6411837605
2022-07-17,2457499.6411837605
2022-07-19,2457499.6411837605
2022-07-21,2457499.6411837605
2022-07-22,2457499.6411837605
2022-07-24,2512302.7798963003
