date,value
2019-02-20,1605900
2019-02-22,1581900
2019-02-25,1566100
2019-02-27,1565500
2019-03-12,1582700
2019-03-22,1484400
2019-03-24,1490700
2019-03-27,1464700
2019-03-29,1473900
2019-04-01,1474800
2019-04-08,1472400
2019-04-13,1507600
2019-05-06,1989800
2019-05-11,1989800
2019-05-13,2005300
2019-05-16,1999400
2019-05-23,2039900
2019-05-31,2144000
2019-06-02,2119200
2019-06-12,2167200
2019-06-17,2159200
2019-06-22,2344800
2019-06-25,2329200
2019-06-27,2220800
2019-06-30,2260600
2019-07-02,2260600
2019-07-05,2321400
2019-07-07,2321400
2019-07-10,2300600
2019-07-12,2297300
2019-07-15,2315900
2019-07-17,2325000
2019-07-22,2321100
2019-07-25,2308700
2019-08-01,2316700
2019-08-04,2292800
2019-08-09,2318500
2019-08-11,2295100
2019-08-14,2354300
2019-08-16,2305900
2019-08-21,2324000
2019-08-24,2329500
2019-08-26,2327800
2019-08-29,2306400
2019-08-31,2297000
2019-09-03,2287100
2019-09-05,2287100
2019-09-13,2270300
2019-09-15,2265200
2019-09-18,2226800
2019-09-20,2249000
2019-10-08,1980200
2019-10-13,1980200
2019-10-25,2016300
2019-10-30,2021000
2019-11-04,2021000
2019-11-09,2021000
2020-02-20,2038700
2020-02-22,2006000
2020-03-01,2006000
2020-03-08,2088300
2020-03-11,2164500
2020-03-13,2163000
2020-03-18,2179800
2020-03-21,2179800
2020-03-28,2215700
2020-03-31,2182800
2020-04-05,2184000
2020-04-07,2236500
2020-04-10,2203400
2020-04-12,2203900
2020-04-15,2186600
2020-04-25,2202600
2020-05-05,2227100
2020-05-07,2231300
2020-05-17,2248900
2020-05-20,2270000
2020-05-22,2410100
2020-05-25,2430700
2020-05-27,2435900
2020-05-30,2435900
2020-06-19,2387000
2020-06-21,2475200
2020-06-24,2473800
2020-06-26,2440000
2020-07-01,2447500
2020-07-04,2425600
2020-07-09,2471600
2020-07-11,2471700
2020-07-14,2455100
2020-07-19,2488200
2020-07-21,2479600
2020-07-24,2471600
2020-07-26,2464500
2020-07-29,2465500
2020-07-31,2443300
2020-08-03,2443300
2020-08-05,2440900
2020-08-08,2467100
2020-08-10,2473700
2020-08-15,2506100
2020-08-20,2486800
2020-08-23,2524700
2020-08-25,2478900
2020-09-02,2447000
2020-09-04,2428400
2020-09-07,2418700
2020-09-12,2419000
2020-09-14,2410800
2020-09-17,2418900
2020-09-19,2420100
2021-03-23,2233400
2021-03-26,2217900
2021-03-28,2269400
2021-03-31,2269400
2021-04-02,2243400
2021-04-05,2213600
2021-04-07,2211600
2021-04-15,2227900
2021-04-17,1998300
2021-04-20,1980400
2021-04-22,1980400
2021-05-27,2093000
2021-05-30,2093000
2021-06-14,2197200
2021-06-16,2285500
2021-06-19,2285500
2021-06-21,2285500
2021-06-26,2252900
2021-07-01,2235400
2021-07-19,2328600
2021-07-21,2265300
2021-07-26,2269100
2021-07-29,2351300
2021-08-05,2348400
2021-08-10,2364900
2021-08-13,2381200
2021-08-18,2367800
2021-08-20,2372300
2021-08-23,2376200
2021-08-25,2371400
2021-08-28,2377200
2021-08-30,2363200
2021-09-04,2344500
2021-09-07,2339500
2021-09-12,2129700
2021-09-14,2129700
2021-09-17,2126500
2021-09-22,2134500
2021-09-24,1739300
2021-09-29,1739300
2021-10-07,1659700
2021-10-12,1678200
2021-10-14,1665800
2021-10-17,1665800
2021-10-24,1648900
2021-10-27,1630600
2022-04-10,2236900
2022-04-15,2236900
2022-04-17,2233900
2022-04-27,2340800
2022-04-30,2344300
2022-05-07,2344300
2022-05-12,2199500
2022-05-15,2219400
2022-05-17,2182400
2022-05-20,2182400
2022-05-22,2182400
2022-05-27,2138100
2022-06-01,2176500
2022-06-04,2176400
2022-06-06,2257800
2022-06-11,2264900
2022-06-14,2285700
2022-06-16,2277700
2022-06-19,2270800
2022-06-29,2304200
2022-07-01,2324200
2022-07-04,2324200
2022-07-06,2324200
2022-07-11,2312400
2022-07-14,2319400
2022-07-16,2324000
2022-07-19,2330100
2022-07-21,2302500
2022-07-24,2316700
2022-07-26,2326600
2022-07-29,2320600
2022-07-31,2325800
2022-08-03,2330100
2022-08-05,2326400
2022-08-08,2302300
2022-08-10,2329900
2022-08-13,2337800
2022-08-15,2347300
2022-08-20,2351600
2022-08-30,2342100
