date,value
2019-01-10,166800
2019-01-12,166800
2019-01-15,176600
2019-01-17,176600
2019-01-20,176600
2019-01-22,176600
2019-01-23,176600
2019-01-25,163700
2019-01-27,173500
2019-01-28,173500
2019-01-30,169300
2019-02-04,134600
2019-02-06,134600
2019-02-09,134600
2019-02-11,178300
2019-02-12,178300
2019-02-14,152200
2019-02-16,152200
2019-02-17,152200
2019-02-19,152200
2019-02-21,194200
2019-02-22,194200
2019-02-27,194200
2019-03-01,165000
2019-03-03,194200
2019-03-08,163200
2019-03-11,190200
2019-03-13,190200
2019-03-16,173400
2019-03-18,190300
2019-03-19,190300
2019-03-21,180100
2019-03-23,180100
2019-03-24,180100
2019-03-26,186600
2019-03-28,177000
2019-03-29,177000
2019-03-31,177000
2019-04-02,169900
2019-04-05,182100
2019-04-07,179400
2019-04-08,179400
2019-04-13,179900
2019-04-15,174700
2019-04-17,182200
2019-04-18,182200
2019-04-20,182000
2019-04-22,216200
2019-04-27,216200
2019-04-30,182500
2019-05-02,216200
2019-05-05,216200
2019-05-07,174000
2019-05-10,186300
2019-05-12,186300
2019-05-13,186300
2019-05-15,186300
2019-05-23,186200
2019-05-30,202700
2019-06-01,202700
2019-06-02,202700
2019-06-04,212200
2019-06-06,212200
2019-06-07,212200
2019-06-11,212200
2019-06-12,212200
2019-06-19,195000
2019-06-22,195000
2019-06-24,201300
2019-06-26,201300
2019-06-27,201300
2019-06-29,189100
2019-07-01,189100
2019-07-02,189100
2019-07-04,191800
2019-07-06,185400
2019-07-07,185400
2019-07-11,191400
2019-07-12,191400
2019-07-14,183500
2019-07-16,186200
2019-07-17,186200
2019-07-19,179100
2019-07-21,183700
2019-07-22,183700
2019-07-24,170400
2019-07-26,170400
2019-07-29,170400
2019-07-31,158200
2019-08-03,159200
2019-08-05,139800
2019-08-06,139800
2019-08-08,140700
2019-08-10,127400
2019-08-11,127400
2019-08-15,136000
2019-08-16,136000
2019-08-18,120100
2019-08-20,123600
2019-08-21,123600
2019-08-23,102400
2019-08-25,103400
2019-08-26,103400
2019-08-30,103400
2019-08-31,103400
2019-09-02,91100
2019-09-04,92000
2019-09-05,92000
2019-09-07,81400
2019-09-09,82500
2019-09-12,76800
2019-09-14,76800
2019-09-15,76800
2019-09-17,76800
2019-09-19,74800
2019-09-25,76700
2019-09-27,72300
2019-09-29,73800
2019-09-30,73800
2019-10-02,69000
2019-10-05,70200
2019-10-07,67500
2019-10-10,67500
2019-10-19,68200
2019-10-27,142300
2019-10-29,142300
2019-10-30,142300
2019-11-06,154100
2019-11-08,154100
2019-11-09,154100
2019-11-13,142400
2019-11-16,180400
2019-11-26,180400
2019-11-28,180400
2019-11-29,180400
2019-12-06,181900
2019-12-08,181900
