date,value
2019-01-10,1164805.4726965432
2019-01-12,1164805.4726965432
2019-01-15,1302020.8196350697
2019-01-17,1302020.8196350697
2019-01-20,1302020.8196350697
2019-01-22,1302020.8196350697
2019-01-23,1302020.8196350697
2019-01-25,1122951.8204624546
2019-01-27,1257811.0656784314
2019-01-28,1257811.0656784314
2019-01-30,1199101.8607234904
2019-02-04,766571.7346994983
2019-02-06,766571.7346994983
2019-02-09,766571.7346994983
2019-02-11,1326580.758116323
2019-02-12,1326580.758116323
2019-02-14,974216.9763974181
2019-02-16,974216.9763974181
2019-02-17,974216.9763974181
2019-02-19,974216.9763974181
2019-02-21,1567100.8174893328
2019-02-22,1567100.8174893328
2019-02-27,1567100.8174893328
2019-03-01,1140412.4807816606
2019-03-03,1567100.8174893328
2019-03-08,1116271.1449466445
2019-03-11,1504755.6956050014
2019-03-13,1504755.6956050014
2019-03-16,1256397.3377262382
2019-03-18,1506299.2889657822
2019-03-19,1506299.2889657822
2019-03-21,1352829.1271009622
2019-03-23,1352829.1271009622
2019-03-24,1352829.1271009622
2019-03-26,1449700.1647251658
2019-03-28,1307779.5056684944
2019-03-29,1307779.5056684944
2019-03-31,1307779.5056684944
2019-04-02,1207405.1500761688
2019-04-05,1382287.8544061766
2019-04-07,1342591.6467335485
2019-04-08,1342591.6467335485
2019-04-13,1349900.2655745314
2019-04-15,1274836.2285062356
2019-04-17,1383768.908057322
2019-04-18,1383768.908057322
2019-04-20,1380807.5736967018
2019-04-22,1932002.3455084413
2019-04-27,1932002.3455084413
2019-04-30,1388216.7064512337
2019-05-02,1932002.3455084413
2019-05-05,1932002.3455084413
2019-05-07,1264891.3268637306
2019-05-10,1445157.353329843
2019-05-12,1445157.353329843
2019-05-13,1445157.353329843
2019-05-15,1445157.353329843
2019-05-23,1443644.6269805476
2019-05-30,1703675.8891641004
2019-06-01,1703675.8891641004
2019-06-02,1703675.8891641004
2019-06-04,1862891.896671081
2019-06-06,1862891.896671081
2019-06-07,1862891.896671081
2019-06-11,1862891.896671081
2019-06-12,1862891.896671081
2019-06-19,1579717.8161768282
2019-06-22,1579717.8161768282
2019-06-24,1680798.7369419474
2019-06-26,1680798.7369419474
2019-06-27,1680798.7369419474
2019-06-29,1487827.0776496993
2019-07-01,1487827.0776496993
2019-07-02,1487827.0776496993
2019-07-04,1529545.7296041336
2019-07-06,1431570.61322158
2019-07-07,1431570.61322158
2019-07-11,1523329.7148147312
2019-07-12,1523329.7148147312
2019-07-14,1403092.9336934357
2019-07-16,1443644.6269805476
2019-07-17,1443644.6269805476
2019-07-19,1338215.7574055512
2019-07-21,1406077.451600164
2019-07-22,1406077.451600164
2019-07-24,1214345.8869101112
2019-07-26,1214345.8869101112
2019-07-29,1214345.8869101112
2019-07-31,1050533.4421135462
2019-08-03,1063525.4126129777
2019-08-05,825398.8265949792
2019-08-06,825398.8265949792
2019-08-08,835795.5097879913
2019-08-10,688622.0433908089
2019-08-11,688622.0433908089
2019-08-15,782201.269431644
2019-08-16,782201.269431644
2019-08-18,613753.4492972406
2019-08-20,649125.429664926
2019-08-21,649125.429664926
2019-08-23,449705.54027539317
2019-08-25,458311.6727913638
2019-08-26,458311.6727913638
2019-08-30,458311.6727913638
2019-08-31,458311.6727913638
2019-09-02,357992.17380196886
2019-09-04,364923.25124490465
