date,value
2019-02-03,512500
2019-02-13,494400
2019-02-15,528500
2019-02-20,519900
2019-02-23,495300
2019-02-25,515700
2019-03-20,492300
2019-03-22,492900
2019-03-27,520000
2019-03-30,494900
2019-05-01,511600
2019-05-06,532500
2019-05-14,559100
2019-06-08,550300
2019-06-13,556500
2019-06-18,568600
2019-06-25,535100
2019-06-28,570500
2019-07-05,508000
2019-07-10,363100
2019-07-15,546000
2019-07-25,474200
2019-08-14,446000
2019-08-17,435300
2019-08-22,435200
2019-08-24,442700
2019-08-29,436800
2019-09-08,354700
2019-09-11,360900
2019-09-13,366700
2019-09-16,352500
2019-10-08,330700
2019-10-11,313000
2019-10-13,327100
2019-12-05,542300
2019-12-10,524200
2019-12-15,488100
2019-12-30,522300
2020-01-09,523300
2020-01-11,523300
2020-01-14,528300
2020-01-19,519200
2020-02-05,528100
2020-02-15,521300
2020-02-20,534500
2020-03-21,540700
2020-03-24,518800
2020-03-26,525400
2020-04-03,528100
2020-04-05,552000
2020-04-08,557000
2020-04-10,557000
2020-04-15,572000
2020-05-05,555700
2020-05-18,559900
2020-05-20,535800
2020-05-25,580500
2020-05-28,565400
2020-05-30,557300
2020-06-24,541600
2020-07-09,550200
2020-07-19,535400
2020-07-27,462500
2020-08-06,374600
2020-08-08,401900
2020-09-02,316100
2020-09-05,323000
2020-09-10,313200
2020-09-12,296400
2020-09-30,289200
2020-10-30,475100
2020-11-14,431700
2020-11-21,463400
2020-11-26,464300
2020-11-29,448900
2020-12-26,511900
2021-01-03,558100
2021-01-18,532500
2021-02-17,563100
2021-02-19,533900
2021-02-24,543600
2021-02-27,520200
2021-03-01,529100
2021-03-04,512500
2021-03-21,538000
2021-03-24,534800
2021-03-29,539300
2021-03-31,556400
2021-04-03,543100
2021-04-05,551700
2021-04-08,549800
2021-04-15,565000
2021-04-23,547300
2021-05-03,537700
2021-05-28,553900
2021-06-14,557000
2021-07-17,543900
2021-07-22,522200
2021-08-11,506300
2021-08-23,439400
2021-08-26,425500
2021-08-31,389900
2021-09-05,348100
2021-09-12,338500
2021-09-25,310000
2021-10-07,309600
2021-10-12,310800
2021-10-27,293500
2021-11-11,301500
2021-11-19,293000
2021-12-14,445000
2021-12-19,436400
2022-01-15,470300
2022-01-23,481700
2022-01-25,475300
2022-02-09,483800
2022-03-09,490800
2022-03-21,499400
2022-04-05,510800
2022-05-08,521300
2022-05-28,522400
2022-06-17,511900
2022-07-02,501500
2022-07-07,501000
2022-07-12,466400
2022-07-14,435300
2022-07-17,397600
2022-07-24,336900
2022-08-01,310800
2022-08-06,288200
2022-08-11,248500
2022-08-13,232100
2022-08-28,172400
