date,value
2019-02-03,482600
2019-02-13,355600
2019-02-16,355600
2019-02-18,355600
2019-02-21,590300
2019-02-23,467500
2019-02-26,467500
2019-03-03,688800
2019-03-08,469600
2019-03-10,469600
2019-03-30,582100
2019-04-04,601800
2019-04-07,628300
2019-04-09,628300
2019-04-12,628100
2019-04-14,767000
2019-04-19,762200
2019-04-22,765200
2019-04-27,765200
2019-04-29,763200
2019-05-14,614800
2019-05-19,605500
2019-05-24,605500
2019-05-27,605500
2019-05-29,619800
2019-06-18,753200
2019-06-21,753200
2019-06-26,753200
2019-06-28,753200
2019-07-01,753200
2019-07-03,782500
2019-07-06,726800
2019-07-08,739400
2019-07-13,673200
2019-07-16,673200
2019-07-23,659000
2019-07-28,702000
2019-07-31,711600
2019-08-02,705100
2019-08-05,705100
2019-08-22,656300
2019-08-25,656300
2019-08-27,656300
2019-08-30,656300
2019-09-01,656300
2019-09-04,656300
2019-09-06,656700
2019-09-11,704400
2019-09-16,686000
2019-09-19,686000
2019-09-21,698200
2019-09-24,717300
2019-10-01,725500
2020-03-19,45200
2020-03-24,467500
2020-03-27,467500
2020-03-29,467500
2020-04-01,467500
2020-04-03,467500
2020-04-08,809000
2020-04-13,823600
2020-04-16,823600
2020-04-18,796700
2020-04-23,781100
2020-04-26,776400
2020-04-28,776400
2020-05-18,605900
2020-05-21,605900
2020-05-23,605900
2020-05-26,605900
2020-05-28,640600
2020-05-31,640600
2020-06-02,619600
2020-06-05,692000
2020-06-07,692000
2020-07-12,688900
2020-07-15,688900
2020-07-17,663700
2020-07-20,663700
2020-07-22,716900
2020-07-27,696700
2020-07-30,660300
2020-08-01,660300
2020-08-04,785500
2020-08-06,718200
2020-08-09,745100
2020-08-11,745100
2020-08-14,726100
2020-09-10,603400
2020-09-13,603400
2020-09-15,603400
2020-09-20,603400
2020-09-25,603400
2020-11-04,449100
2020-11-09,449100
2020-11-12,449100
2020-11-14,483000
2020-11-19,466400
2021-02-17,677700
2021-02-27,791400
2021-03-02,791400
2021-03-04,791400
2021-03-09,791700
2021-03-24,753400
2021-03-27,753400
2021-03-29,772700
2021-04-01,777700
2021-04-03,759100
2021-04-06,789700
2021-04-08,789700
2021-04-11,735000
2021-04-13,752600
2021-04-23,748600
2021-04-28,721500
2021-05-03,742000
2021-05-08,733200
2021-05-11,733200
2021-05-13,733200
2021-05-28,814100
2021-05-31,814100
2021-06-05,813300
2021-06-07,813300
2021-07-17,758800
2021-07-20,758800
2021-07-22,758800
2021-07-25,758800
2021-08-11,866100
2021-08-14,866100
2021-08-26,897100
2021-08-29,897100
2021-08-31,897100
2021-09-03,897100
2021-09-05,897400
2021-09-30,703700
2021-10-03,644400
2021-10-08,644400
2021-10-10,644400
2021-11-04,613500
2021-11-09,633100
2021-11-17,576700
2021-11-19,660400
2022-02-27,723200
2022-03-07,723200
2022-03-09,777600
2022-03-12,776700
2022-03-14,776700
2022-03-19,788800
2022-03-22,780000
2022-03-24,782300
2022-03-27,782300
2022-04-01,691400
2022-05-28,717200
2022-05-31,717200
2022-06-02,881400
2022-06-05,881400
2022-06-07,881400
2022-06-10,881400
2022-06-12,881400
2022-06-17,899300
2022-06-27,899300
2022-07-02,893100
2022-07-05,893100
2022-07-07,866800
2022-07-10,893200
2022-07-12,817600
2022-07-15,818500
2022-07-17,818500
2022-07-20,816400
2022-08-06,704400
2022-08-09,704400
2022-08-11,783400
