date,value
2019-02-22,15559209.657460613
2019-02-25,15596651.071389964
2019-02-27,14450858.310124533
2019-03-02,14462373.958389845
2019-03-07,15492288.622771837
2019-03-09,15480489.609767716
2019-03-12,12060559.076052515
2019-03-14,12076765.221409183
2019-03-24,13375495.407035079
2019-03-27,13450260.597478278
2019-03-29,15112399.792092057
2019-04-01,15192407.708195537
2019-04-08,15401910.727437044
2019-04-13,15847732.45107827
2019-04-28,16472559.488642745
2019-05-13,16993978.437838074
2019-05-16,15423505.835582234
2019-05-23,16548996.764990285
2019-05-28,16548996.764990285
2019-05-31,16641693.234779652
2019-06-02,18239007.4758093
2019-06-07,18239007.4758093
2019-06-12,18362080.77329039
2019-06-17,15502123.559374599
2019-06-22,15919162.500099149
2019-06-25,15919162.500099149
2019-06-27,15624259.818990758
2019-06-30,15624259.818990758
2019-07-02,15567089.418233005
2019-07-05,15719049.25537386
2019-07-07,15819984.758618876
2019-07-10,15996673.028779447
2019-07-12,15307802.704017658
2019-07-15,15859629.577192852
2019-07-17,15721026.188459376
2019-07-20,15626232.532416498
2019-07-22,14470052.857425366
2019-07-25,13956865.942222668
2019-08-01,12858119.957815675
2019-08-04,13231987.465622796
2019-08-06,13231987.465622796
2019-08-09,11209204.95624547
2019-08-11,11592162.993577845
2019-08-14,11592162.993577845
2019-08-16,11025539.606847228
2019-08-21,11523001.776937542
2019-08-24,11523001.776937542
2019-08-26,11523001.776937542
2019-08-29,10689026.773821888
2019-08-31,10747736.673738293
2019-09-03,8222685.2627576385
2019-09-05,9013922.183533665
2019-09-08,9012297.95678344
2019-09-13,9012297.95678344
2019-09-15,7935167.135525045
2019-09-18,8284089.798100803
2019-09-20,8284089.798100803
2019-09-28,7783513.331316583
2019-09-30,7794311.432817451
2019-10-03,5616050.960591861
2019-10-05,6267784.179643055
2019-10-08,6322154.231257219
2019-10-10,6097181.8255154295
2019-10-13,6097181.8255154295
2019-10-15,6230679.302133914
2019-10-25,6389630.557051965
2019-10-30,7666617.738494437
2019-11-02,8981457.302136037
2019-11-04,8929599.631582418
2019-11-09,8923124.884547204
2020-02-22,14791929.156519352
2020-02-27,14791929.156519352
2020-03-01,14716536.67087706
2020-03-08,14406745.022847844
2020-03-11,13609624.781823112
2020-03-13,13609624.781823112
2020-03-18,13609624.781823112
2020-03-21,13609624.781823112
2020-05-07,20400938.567827675
2020-05-17,22795658.611515295
2020-05-20,23454984.23123645
2020-05-22,22357570.977242816
2020-05-25,24031292.20855117
2020-05-27,23161886.506029937
2020-05-30,23161886.506029937
2020-06-06,23477759.326894403
2020-06-21,22865579.638756733
2020-06-24,22865579.638756733
2020-06-26,22865579.638756733
2020-07-01,22865579.638756733
2020-07-04,22879121.477116674
2020-07-06,23596315.637288462
2020-07-26,23028268.517705325
2020-07-29,23225393.93985218
2020-07-31,23168687.93519407
2020-08-03,22811440.61738935
2020-08-05,22703298.671200253
2020-08-08,22131846.952623807
2020-08-10,23016957.51654045
2020-08-13,22514487.56927955
2020-08-15,22806931.07911328
2020-08-20,22205509.348793242
2020-08-23,21347109.489292413
2020-08-25,21430866.678187024
2020-08-30,20574607.938678473
2020-09-02,19891652.79590397
2020-09-04,19880912.110425033
2020-09-07,18161975.21192015
2020-09-12,18874157.627529085
2020-09-14,17040739.702310298
2020-09-17,17900514.515030377
2020-09-19,17900514.515030377
2020-09-24,17799197.53558326
2020-09-27,17799197.53558326
2020-09-29,18043529.476572223
2020-10-24,17197618.316821866
2020-11-01,13566437.282977492
2020-11-08,15190454.520349996
2021-03-13,17811592.778413642
2021-03-16,17811592.778413642
2021-03-21,17811592.778413642
2021-03-23,18623793.63256507
2021-03-28,18720432.932477232
2021-03-31,18720432.932477232
2021-04-02,18737257.798477583
2021-04-05,17950213.242081795
2021-04-07,18775133.26536345
2021-04-12,18220259.29814576
2021-04-15,18218176.587800596
2021-04-20,17966790.299587954
2021-04-22,17966790.299587954
2021-05-12,17875683.411156744
2021-05-17,18153654.30046601
2021-05-20,18153654.30046601
2021-05-27,18422681.54271815
2021-05-30,18234840.625450056
2021-06-06,18224424.97115964
2021-07-11,15808098.150013717
2021-07-14,15022812.62031441
2021-07-16,15370518.748026693
2021-07-19,15370518.748026693
2021-07-21,14689505.913448347
2021-07-26,14947005.79795041
2021-07-29,14543074.181220086
2021-07-31,14543074.181220086
2021-08-10,11682824.965844953
