date,value
2019-02-26,307900
2019-03-30,352700
2019-04-19,331300
2019-05-14,357300
2019-06-01,354000
2019-06-26,363000
2019-06-28,360700
2019-07-03,358000
2019-07-06,345600
2019-07-16,356300
2019-07-23,291500
2019-08-07,319000
2019-08-25,284300
2019-08-27,272400
2019-08-30,259500
2019-09-14,221100
2019-09-16,246400
2019-09-19,192800
2019-09-21,188400
2019-11-08,282900
2019-12-03,400
2019-12-25,280900
2019-12-30,200
2020-01-19,278600
2020-01-22,280400
2020-02-06,152400
2020-03-17,134600
2020-03-24,311700
2020-04-01,236900
2020-04-16,348700
2020-04-23,275300
2020-05-08,328700
2020-05-18,345700
2020-05-21,328100
2020-05-28,300800
2020-05-31,344900
2020-06-02,362900
2020-07-12,346700
2020-07-20,345200
2020-07-22,329600
2020-07-30,333600
2020-08-06,276700
2020-08-09,320000
2020-09-13,336700
2020-09-15,336400
2020-11-04,280500
2020-11-12,334700
2020-11-29,305700
2021-02-10,318300
2021-02-27,339300
2021-03-02,314600
2021-03-07,338800
2021-03-09,314000
2021-03-29,342200
2021-04-01,314200
2021-04-13,341400
2021-04-18,344000
2021-04-23,364800
2021-04-26,324500
2021-05-31,321900
2021-06-05,326600
2021-07-17,346700
2021-08-14,321400
2021-09-05,372100
2021-11-02,305000
2021-11-22,290400
2021-11-24,297200
2021-12-09,313000
2022-01-01,334700
2022-02-07,265500
2022-02-27,352800
2022-03-07,328800
2022-03-17,326000
2022-03-19,319200
2022-03-22,305700
2022-03-24,347900
2022-03-27,350300
2022-04-16,334300
2022-04-21,330800
2022-06-15,324800
2022-06-17,337500
2022-07-10,358800
2022-07-15,331100
2022-08-06,322100
2022-08-09,308500
2022-08-11,309700
