date,value
2019-03-02,11.775559639171638
2019-03-07,13467.806833531353
2019-03-12,14474.706102639382
2019-03-14,237.37033419813574
2019-03-22,2541.1045343691158
2019-03-24,2289.61923690969
2019-03-27,5145.315167795839
2019-03-29,20782.915227989997
2019-04-13,36.00152605673548
2019-04-28,36646840.08441837
2019-05-01,37140680.76963659
2019-05-13,39446341.89715267
2019-05-16,43525050.53311509
2019-05-23,42835049.82876993
2019-05-31,46282473.41183018
2019-06-02,47862625.11994641
2019-06-12,48462009.61281631
2019-06-17,47968128.24611618
2019-06-22,47138977.21506393
2019-06-27,49088845.3404836
2019-07-05,49088845.3404836
2019-07-07,49743587.52314276
2019-07-12,48591776.857478276
2019-08-09,49302647.833995014
2019-08-14,49385918.5250184
2019-08-16,48132474.73876734
2019-08-21,49397820.06494665
2019-08-26,49421627.43999161
2019-08-29,49148188.390488304
2019-09-03,48414864.476948105
2019-09-15,49124446.87526074
2019-09-28,48038528.09429365
2019-09-30,45788377.1140039
2019-10-03,47710436.46273384
2019-10-05,45057880.793171436
2019-10-08,47768941.92562173
2019-10-10,47104101.59639418
2019-10-13,47511785.63688565
2020-03-01,38610422.87678641
2020-03-08,73.39310505446782
2020-03-11,41580705.17497166
2020-03-13,594263.1984020484
2020-03-21,41144995.08128953
2020-04-05,40581997.6128402
2020-04-10,41014728.875143416
2020-04-15,42183547.91835623
2020-05-07,44683510.421913356
2020-05-20,48757185.72772141
2020-05-22,48993970.91115468
2020-06-21,49624221.35162175
2020-06-24,49160061.29571336
2020-06-26,49112578.26525927
2020-07-04,49636151.52604372
2020-07-19,49065118.14268109
2020-07-26,49516914.20927397
2020-08-05,49421627.43999161
2020-08-08,50030650.47331558
2020-08-10,48982118.05034679
2020-08-20,47745535.44505525
2020-08-25,48167728.354929484
2020-09-04,46999552.059424646
2020-09-14,47511785.63688565
2020-09-29,47979857.974665135
2020-10-17,49767477.93803764
2021-03-01,421.6238564436637
2021-03-23,6.629531237859956
2021-03-28,164.93164040588547
2021-03-31,494.7023931042225
2021-04-05,33300.427124627575
2021-04-15,6846907.4957173085
2021-06-09,49160061.29571336
2021-06-14,47185498.08559386
2021-07-09,46006372.264570504
2021-07-11,46605633.81870931
2021-07-16,48038528.09429365
2021-07-19,45903046.96875649
2021-07-21,48120726.39695137
2021-08-10,47336849.131769985
2021-08-13,45137493.16090532
2021-08-15,46432372.565440945
2021-08-20,44853485.460738465
2021-08-28,43179362.09432114
2021-08-30,44434796.50152708
2021-09-17,38873987.447137006
2021-09-22,42957067.62532431
2021-10-07,38694666.145705245
2021-10-09,37233643.297811046
2021-10-12,39170242.49532725
2021-10-14,41177593.855722584
2021-10-17,38337265.315609
2021-10-19,38494738.053802446
2022-03-23,11.775559639171638
2022-04-17,16513493.114641992
2022-05-10,41908991.45655709
2022-05-12,43223889.725324795
2022-05-17,48144224.51236938
2022-05-20,49183811.40138335
2022-05-22,46213370.803675696
2022-05-27,52885044.35877418
2022-06-01,52050963.27394216
2022-06-04,51904459.66536494
2022-06-26,51393320.500587925
2022-07-11,52369094.976301424
2022-07-14,50969300.334741816
2022-07-16,51053964.06578118
2022-07-19,48816328.33281829
2022-07-21,50066591.32616547
2022-07-24,48167728.354929484
2022-07-31,48579972.67639864
2022-08-03,50234485.67825605
2022-08-05,47757237.96943696
2022-08-20,48473799.47621275
2022-08-23,46686599.323266536
2022-08-28,45811299.62981524
