date,value
2019-02-03,1448300
2019-02-13,1436100
2019-02-15,1436100
2019-02-18,1505600
2019-02-20,1504900
2019-02-23,1511300
2019-02-25,1511300
2019-03-30,1616300
2019-04-01,1616300
2019-04-11,1615900
2019-04-14,1659800
2019-04-19,1622600
2019-06-13,1523600
2019-06-18,1607100
2019-06-25,1607100
2019-06-28,1607700
2019-07-03,1630300
2019-07-05,1587700
2019-07-08,1590200
2019-07-10,1590200
2019-07-13,1561900
2019-07-15,1550700
2019-07-23,1520500
2019-07-25,1530900
2019-07-28,1501300
2019-08-02,1471800
2019-08-04,1471800
2019-08-22,1198800
2019-08-24,1198800
2019-08-29,1198800
2019-09-03,1198800
2019-09-06,1210200
2019-09-08,1112400
2019-09-11,1112400
2019-09-13,1112400
2019-09-16,1126800
2019-09-18,1126800
2019-09-21,1092200
2019-10-11,943800
2019-10-13,943800
2020-01-19,1392200
2020-01-21,1392200
2020-01-24,1406000
2020-03-19,1498200
2020-03-24,1544800
2020-03-26,1549200
2020-03-31,1549200
2020-04-05,1523300
2020-04-13,1613400
2020-04-15,1613400
2020-04-18,1615200
2020-04-23,1601200
2020-05-18,1607600
2020-05-20,1607600
2020-05-25,1607600
2020-05-28,1621900
2020-05-30,1621900
2020-06-02,1615200
2020-06-09,1646100
2020-07-07,1507100
2020-07-09,1490500
2020-07-12,1541000
2020-07-14,1541000
2020-07-17,1520100
2020-07-19,1520100
2020-07-22,1514300
2020-07-24,1470300
2020-07-27,1481100
2020-08-06,1323600
2020-08-08,1333500
2020-08-11,1260300
2020-09-10,1061300
2020-09-12,1061300
2020-09-15,1082800
2020-09-17,1082800
2020-11-04,881700
2020-11-06,881700
2020-11-14,924100
2020-11-19,879100
2020-11-21,915500
2020-11-26,915500
2020-11-29,892900
2021-02-27,1556100
2021-03-01,1556100
2021-03-04,1556100
2021-03-06,1556100
2021-03-09,1577200
2021-03-14,1584300
2021-03-24,1555700
2021-03-29,1602300
2021-03-31,1602300
2021-04-03,1562400
2021-04-05,1588800
2021-04-08,1537400
2021-04-13,1488500
2021-04-15,1502700
2021-04-18,1502700
2021-04-23,1486700
2021-05-03,1507400
2021-05-08,1501400
2021-05-28,1445500
2021-05-30,1445500
2021-06-07,1445500
2021-07-17,1321700
2021-07-19,1321700
2021-07-22,1344100
2021-08-11,1179800
2021-08-13,1179800
2021-08-26,1059800
2021-08-28,1059800
2021-09-02,1059800
2021-09-05,1059800
2021-09-30,868100
2021-10-07,868100
2021-10-10,868100
2021-11-09,822400
2021-11-19,830900
2021-11-24,798600
2021-11-29,798600
2022-02-27,982200
2022-03-06,982200
2022-03-09,1013400
2022-03-24,967100
2022-03-26,967100
2022-05-08,1056300
2022-05-10,1056300
2022-05-28,1086000
2022-05-30,1086000
2022-06-02,1086000
2022-06-04,1086000
2022-06-17,1026200
2022-06-19,1026200
2022-06-27,1026600
2022-07-02,964000
2022-07-04,964000
2022-07-07,973700
2022-07-12,966400
2022-07-14,953500
2022-07-17,953500
2022-07-19,925400
2022-08-06,901800
2022-08-08,901800
2022-08-11,907600
2022-08-13,914700
2022-08-18,897700
