date,value
2019-02-15,8948548.563756755
2019-02-17,8094045.552880618
2019-02-20,9151372.523280505
2019-02-22,8891580.609595442
2019-02-27,8905424.752606364
2019-03-22,8311678.269749234
2019-03-24,7795164.871353558
2019-03-27,7569888.499908816
2019-03-29,7186424.734884965
2019-04-01,7258803.826988645
2019-04-08,7424471.1919663325
2019-04-13,6838471.00787723
2019-05-13,6450963.399286866
2019-05-23,8250337.261894913
2019-05-31,9086153.956853518
2019-06-02,9252660.565910421
2019-06-17,8957799.839182176
2019-06-27,8738316.948483448
2019-06-30,9999384.603388488
2019-07-05,9010293.396240525
2019-07-12,9388903.159843275
2019-07-15,9180935.27819567
2019-07-22,8421328.770515146
2019-07-25,9039679.572687076
2019-08-04,7653886.818382597
2019-08-09,8031852.3513589185
2019-08-14,8251831.296769713
2019-08-24,7371472.332240473
2019-09-03,5809031.70310224
2019-09-13,6244387.938441577
2019-09-15,5947971.249083345
2019-09-18,6319696.067395494
2019-09-20,6168093.37846794
2019-10-08,4953164.900267343
2019-10-13,5883586.942168772
2020-02-15,8000825.2305004615
2020-02-20,7893330.107556565
2020-02-22,7523697.892898326
2020-03-18,9478581.815622602
2020-03-21,9597080.730592078
2020-04-05,9434488.022940433
2020-04-10,9773500.092920365
2020-05-07,9044322.870918727
2020-05-22,9059807.177900303
2020-05-25,9622433.997773793
2020-06-19,8683394.118505282
2020-06-21,8413800.774276445
2020-06-24,9611338.766505554
2020-07-04,9131166.586356413
2020-07-09,9603416.62675868
2020-07-19,9249537.596301302
2020-07-21,7986066.7079332275
2020-07-24,9274532.745075414
2020-07-29,9776690.18831141
2020-07-31,7827345.93579968
2020-08-05,7741157.6596909175
2020-08-08,8793373.349986117
2020-08-10,8373194.517709605
2020-08-15,6908085.926693207
2020-08-20,6345326.151908988
2020-08-25,4793448.350232709
2020-09-02,4093780.37489633
2020-09-04,3409843.799538242
2020-09-14,3464184.327224612
2020-09-17,3773912.925513292
2021-02-19,9257345.78328222
2021-02-24,9838977.328766748
2021-03-01,9083052.803155126
2021-03-23,8781127.060683548
2021-03-28,9213652.703038113
2021-03-31,9304248.28965588
2021-04-02,9283912.637229785
2021-04-15,9076851.721699338
2021-05-27,9765526.612675056
2021-05-30,9042775.002577506
2021-06-11,9437634.94731601
2021-06-14,9598664.553315977
2021-06-16,9128059.510999804
2021-06-21,9323034.90134742
2021-07-29,9530651.322103744
2021-08-10,9362220.636389986
2021-08-20,9299553.922473911
2021-08-28,8020027.030212586
2021-09-22,7981641.202394746
2021-09-24,8018549.3379727835
2021-10-12,7730956.388642608
2021-10-14,7499203.539675629
2021-10-17,7578561.3835545415
2021-10-24,7358602.886607835
2021-10-27,7114325.935253622
2022-02-26,9406183.937416624
2022-03-23,8914658.799370473
2022-04-05,9420331.876988448
2022-04-10,9786262.88538584
2022-04-17,9644639.280163044
2022-05-15,9510125.948841693
2022-05-17,9541710.519834084
2022-06-01,9262031.916109836
2022-06-04,9087704.686931422
2022-06-06,9219889.685953185
2022-06-16,9084603.32892676
2022-06-19,9373204.007923359
2022-06-29,9288603.955646435
2022-07-06,8317672.145353884
2022-07-11,8404770.609436702
2022-07-14,8794904.599317854
2022-07-16,8296700.87865882
2022-07-19,8534560.227430483
2022-07-21,7221869.698739526
2022-07-24,8110364.834269699
2022-07-26,8227939.272028785
2022-07-29,8563338.13286948
2022-07-31,7253116.920538857
2022-08-03,7430209.57384393
2022-08-10,7542449.665316307
2022-08-28,7669857.874002539
2022-08-30,7233226.299575026
