date,value
2019-03-31,986600
2019-04-05,773900
2019-04-15,786000
2019-04-20,830500
2019-04-30,1761100
2019-05-15,1804600
2019-06-04,2023700
2019-06-29,2457100
2019-07-14,2551100
2019-07-19,2556800
2019-07-24,2547900
2019-09-12,2596600
2019-09-27,2596700
2020-03-15,2184100
2020-03-20,2204200
2020-04-04,2038700
2020-04-09,2035600
2020-04-14,2037800
2020-05-04,2359600
2020-05-09,2323400
2020-05-24,2582000
2020-07-08,2681600
2020-07-23,2670900
2020-08-07,2663400
2020-08-27,2634100
2021-03-30,1043300
2021-04-04,1146200
2021-04-14,694600
2021-05-09,2201500
2021-06-13,1994200
2021-07-18,2493000
2021-08-12,2540600
2021-09-11,2379000
2021-10-01,2291200
2022-03-25,13700
2022-04-04,25900
2022-04-14,999600
2022-05-14,2396700
2022-06-18,2836300
2022-07-03,2782500
2022-07-08,2710400
2022-07-13,2679600
2022-07-18,2672400
2022-08-02,2574400
2022-08-12,2566100
2022-09-01,2529400
