date,value
2019-02-11,29332465.502757356
2019-02-14,26850124.76678935
2019-02-16,25520869.471907318
2019-02-19,26498364.302154284
2019-02-21,25687667.346970964
2019-03-01,25306374.852271125
2019-03-03,25798487.306805097
2019-03-08,26386767.80746815
2019-03-11,26700843.78690142
2019-03-13,26530734.03134443
2019-03-16,26997996.100045066
2019-03-18,27273174.33117973
2019-03-21,28255971.33676131
2019-03-23,28274073.623143394
2019-03-26,28674737.975536507
2019-03-28,28965845.505136076
2019-03-31,30169678.24622466
2019-04-02,30733454.16752931
2019-04-05,30508289.14748125
2019-04-07,31333740.8094708
2019-04-10,31335431.2609371
2019-04-15,34045982.1229427
2019-04-17,33985537.49385443
2019-04-20,33968272.73929673
2019-04-22,35225855.526137024
2019-04-27,38414788.48952552
2019-04-30,38074711.08255375
2019-05-02,40871492.04349941
2019-05-05,41036432.84161869
2019-05-07,41036432.84161869
2019-05-10,41956719.79022303
2019-05-12,42373126.07227233
2019-05-15,42918986.6432888
2019-05-30,47026805.312292494
2019-06-01,46957295.62598217
2019-06-04,45302726.42578868
2019-06-06,45312030.73045956
2019-06-11,45306448.087936856
2019-06-19,46788329.882200964
2019-06-21,46544548.63681646
2019-06-24,46009400.096892826
2019-06-26,44851138.01510242
2019-06-29,45565298.50948184
2019-07-01,45027544.61363792
2019-07-04,44797323.53023906
2019-07-06,44650810.86272837
2019-07-11,44558145.963444486
2019-07-14,45645452.27118641
2019-07-16,44343356.68051442
2019-07-19,43302904.812737696
2019-07-21,43137472.04118204
2019-07-24,43711676.203478746
2019-07-26,43052981.24390061
2019-07-29,43194435.817846514
2019-07-31,42836441.46297797
2019-08-03,43240388.6051608
2019-08-05,42959357.12397377
2019-08-08,43240388.6051608
2019-08-10,42179400.458717205
2019-08-15,41716132.86014212
2019-08-18,42440801.68264528
2019-08-20,41918420.50006153
2019-08-23,41705205.657024585
2019-08-25,41334125.02969086
2019-08-28,41594154.76782458
2019-08-30,40871492.04349941
2019-09-02,39059696.50949316
2019-09-04,39027474.26776015
2019-09-07,39113415.633100905
2019-09-12,37395157.48501594
2019-09-14,37357989.690972045
2019-09-17,38311435.65991617
2019-09-19,38318561.11253975
2019-09-24,34572160.59323861
2019-09-27,37611274.893920876
2019-09-29,37039804.05727908
2019-10-02,34255163.1345905
2019-10-04,34255163.1345905
2019-10-07,35539920.12840218
2019-10-14,33871632.360551804
2019-10-17,36156181.94012943
2019-10-19,35173582.08396198
2019-10-27,32770581.644598763
2019-10-29,32770581.644598763
2019-11-06,34724866.93582843
2019-11-08,34724866.93582843
2019-11-13,34688409.727866754
2019-11-16,36680052.54892008
2020-02-09,37411089.486094765
2020-02-11,36678291.31536397
2020-02-14,35833700.852648415
2020-02-16,34973388.056306854
2020-02-19,34961211.94719115
2020-02-21,35977322.29150926
2020-02-24,36467103.35213338
2020-02-26,35761946.28017781
