date,value
2019-02-14,20115400
2019-03-01,20129000
2019-03-11,20271500
2019-03-16,20015000
2019-03-21,20101300
2019-03-31,19964900
2019-04-05,20280100
2019-05-30,20352500
2019-06-04,20413800
2019-06-19,20497100
2019-06-24,20322500
2019-06-29,20163100
2019-07-04,20376000
2019-07-29,19908800
2019-08-03,19828900
2019-08-08,19946200
2019-08-18,19877600
2019-09-07,19933200
2019-09-12,19761100
2019-09-17,19614200
2019-09-27,19215600
2019-10-07,19186800
2019-10-27,19248200
2020-02-14,20309900
2020-02-24,20599000
2020-04-04,20602700
2020-04-09,20669000
2020-04-14,20705200
2020-05-04,20722200
2020-06-28,21006700
2020-07-03,20960000
2020-07-08,20915400
2020-08-07,20804600
2020-08-22,20354400
2020-08-27,20429000
2020-09-01,20229700
2020-09-06,20073600
2020-09-16,20108300
2020-09-26,20269700
2021-02-28,20803300
2021-03-30,20644000
2021-05-04,20881600
2021-06-13,21090100
2021-07-18,21017400
2021-08-02,20824000
2021-08-22,20511500
2021-08-27,20431700
2021-09-11,20282800
2021-10-01,19790000
2021-10-06,19960600
2021-10-11,19895700
2021-10-16,19712300
2022-02-13,20142400
2022-02-18,20157400
2022-02-23,20262100
2022-02-28,20227700
2022-03-25,20235800
2022-04-09,20076100
2022-04-19,20179200
2022-05-19,20081700
2022-05-29,20059600
2022-07-03,19623000
2022-07-08,19540000
2022-08-02,19214100
2022-08-12,18975300
2022-08-22,18941800
