date,value
2019-02-14,560906011.8748294
2019-03-01,561795597.4296207
2019-03-11,571165281.2904487
2019-03-16,554363777.6765689
2019-03-21,559984574.5021819
2019-03-31,551115630.8141682
2019-04-05,571733595.1315191
2019-05-30,576530861.2179339
2019-06-04,580610617.0075504
2019-06-19,586181019.49028
2019-06-24,574540254.3648075
2019-06-29,564029658.2712804
2019-07-04,578092928.4823182
2019-07-29,547491470.1935595
2019-08-03,542353446.2599236
2019-08-08,549906053.4854105
2019-08-18,545481826.3343863
2019-09-07,549066068.8480463
2019-09-12,538015298.9611266
2019-09-17,528684452.3228582
2019-09-27,503836399.2364195
2019-10-07,502067592.8962764
2019-10-27,505842895.68277806
2020-02-14,573705376.7649554
2020-02-24,593036747.5948373
2020-04-04,593286540.2353812
2020-04-09,597772784.1622075
2020-04-14,600230470.5294263
2020-05-04,601386628.6495736
2020-06-28,620924938.4591299
2020-07-03,617693181.5721576
2020-07-08,614615775.8512381
2020-08-07,607008685.2579398
2020-08-22,576657065.9549536
2020-08-27,581624790.1187003
2020-09-01,568407627.0470619
2020-09-06,558176904.3731195
2020-09-16,560441917.0808785
2020-09-26,571046372.9025233
2021-02-28,606919754.7770395
2021-03-30,596078862.1961793
2021-05-04,612289441.2709926
2021-06-13,626720500.9681703
2021-07-18,621666767.3866109
2021-08-02,608336689.6014838
2021-08-22,587147063.5493501
2021-08-27,581805045.46545
2021-09-11,571912086.1051816
2021-10-01,539862007.0718434
2021-10-06,550837357.7620968
2021-10-11,546647161.2215912
2021-10-16,534905216.95190746
2022-02-13,562672891.6902974
2022-02-18,563655868.9066988
2022-02-23,570544471.7933406
2022-02-28,568275873.7230744
2022-03-25,568809582.8774669
2022-04-09,558339913.8939418
2022-04-19,565086216.972988
2022-05-19,558705154.2834462
2022-05-29,557264555.4794939
2022-07-03,529240778.6415792
2022-07-08,524006947.0397627
2022-08-02,503744185.8323546
2022-08-12,489187074.1807127
2022-08-22,487164495.5540352
