date,value
2019-02-15,595600
2019-02-20,631000
2019-02-25,606200
2019-03-22,635300
2019-06-30,690900
2019-07-05,673800
2019-07-10,671000
2019-07-15,686100
2019-07-25,664000
2019-08-04,655700
2019-09-13,571600
2019-09-18,563700
2019-10-13,462600
2019-11-22,526500
2020-01-06,583600
2020-01-16,609200
2020-01-21,594900
2020-03-26,649200
2020-03-31,674700
2020-04-05,652300
2020-04-10,622000
2020-04-15,675600
2020-05-20,659400
2020-05-30,684200
2020-07-04,674000
2020-07-09,668700
2020-07-19,697200
2020-07-24,669700
2020-07-29,668700
2020-08-08,657000
2020-09-07,601800
2020-09-12,586800
2020-09-17,571700
2020-11-21,539900
2021-02-24,655200
2021-03-01,621000
2021-03-31,643400
2021-06-14,675800
2021-07-19,661500
2021-09-07,614500
2021-09-12,584500
2021-09-22,564200
2021-10-22,550000
2022-01-05,649900
2022-01-15,621100
2022-01-25,616900
2022-02-09,607400
2022-03-26,645900
2022-04-15,591600
2022-06-14,633300
2022-06-19,618600
2022-06-29,647700
2022-07-14,642700
2022-07-19,650100
2022-07-24,635500
2022-08-03,610900
2022-08-08,607200
2022-08-13,583900
2022-08-28,561800
