date,value
2019-03-31,1361800
2019-05-10,1379700
2019-05-15,1409000
2019-05-30,1448700
2019-06-04,1502100
2019-06-24,1630500
2019-06-29,1673200
2019-07-14,1733000
2019-07-19,1735900
2019-07-24,1745500
2019-07-29,1767000
2019-08-03,1767000
2019-08-08,1767800
2019-08-18,1775500
2019-09-12,1762700
2019-09-17,1769600
2020-03-15,1546200
2020-03-25,1531900
2020-04-09,1480600
2020-05-04,1461100
2020-05-24,1575100
2020-06-23,1618300
2020-07-08,1686300
2020-07-18,1672200
2020-07-23,1673700
2020-08-07,1693500
2020-08-27,1726400
2020-09-01,1745800
2020-09-06,1741900
2020-09-16,1767500
2021-03-20,1562000
2021-03-25,1500400
2021-03-30,1494100
2021-04-24,1338300
2021-06-13,1671600
2021-07-18,2014400
2021-08-17,2095800
2021-08-27,2103100
2021-09-01,2115400
2021-09-11,2129300
2021-09-21,2181100
2022-03-20,1663300
2022-04-04,1625800
2022-04-14,1667200
2022-05-14,1788200
2022-05-29,1995400
2022-06-18,2099700
2022-07-08,2102600
2022-07-13,2103400
2022-07-18,2098400
2022-08-02,2077000
2022-08-12,2103600
2022-08-22,2123900
2022-09-01,2113500
