date,value
2019-03-31,45963785.9437286
2019-05-10,47306983.401876934
2019-05-15,49551353.33119849
2019-05-30,52683322.62100154
2019-06-04,57062154.59199338
2019-06-24,68378689.12814511
2019-06-29,72391016.7331199
2019-07-14,78221060.0641102
2019-07-19,78510071.12880306
2019-07-24,79470956.01364039
2019-07-29,81646140.84522301
2019-08-03,81646140.84522301
2019-08-08,81727697.79986471
2019-08-18,82514960.17939594
2019-09-12,81208534.6747696
2019-09-17,81911363.70531371
2020-03-15,60822917.69439224
2020-03-25,59589062.17349774
2020-04-09,55276156.14312682
2020-05-04,53683106.9866904
2020-05-24,63358777.99444096
2020-06-23,67255247.00350277
2020-07-08,73647068.81747101
2020-07-18,72295619.95789184
2020-07-23,72438740.90867378
2020-08-07,74342450.5705765
2020-08-27,77565481.97419676
2020-09-01,79501086.64361869
2020-09-06,79109875.37077646
2020-09-16,81697108.72571228
2021-03-20,62202288.88264469
2021-03-25,56919805.32942006
2021-03-30,56393969.90567518
2021-04-24,44232426.24149668
2021-06-13,72238414.89847612
2021-07-18,109008962.6541294
2021-08-17,118962462.99671173
2021-08-27,119878361.97609194
2021-09-01,121430279.19023582
2021-09-11,123197213.64009137
2021-09-21,129905023.48680049
2022-03-20,71449616.93253197
2022-04-04,67944682.88350001
2022-04-14,71819667.32431892
2022-05-14,83822451.43208027
2022-05-29,106753952.4945806
2022-06-18,119451301.15363464
2022-07-08,119815506.66123101
2022-07-13,119916083.81478101
2022-07-18,119288233.34413728
2022-08-02,116621374.7248348
2022-08-12,119941235.31142975
2022-08-22,122509121.2074718
2022-09-01,121189839.44534428
