date,value
2019-01-11,451300
2019-01-16,476000
2019-01-19,476000
2019-01-23,476000
2019-01-26,476000
2019-01-28,472800
2019-02-15,523200
2019-02-17,523200
2019-02-18,523200
2019-02-20,527900
2019-02-22,527900
2019-02-23,527900
2019-02-25,524200
2019-02-27,524200
2019-03-07,534000
2019-03-12,529900
2019-03-22,514100
2019-03-24,514100
2019-03-25,514100
2019-03-27,521300
2019-03-29,521300
2019-03-30,521300
2019-04-01,521300
2019-04-08,515900
2019-04-09,515900
2019-05-01,513000
2019-05-06,513000
2019-05-11,513000
2019-05-13,513000
2019-05-14,513000
2019-05-16,513000
2019-05-31,506200
2019-06-02,506200
2019-06-08,506200
2019-06-12,506200
2019-06-13,506200
2019-07-05,545100
2019-07-08,545100
2019-07-10,540600
2019-07-12,540600
2019-07-13,540600
2019-07-15,536900
2019-07-17,536800
2019-07-22,541100
2019-07-23,541100
2019-07-25,518600
2019-07-28,529300
2019-08-02,503900
2019-08-04,504100
2019-08-09,473200
2019-08-14,459500
2019-08-16,459500
2019-08-17,459500
2019-08-21,465300
2019-08-22,465300
2019-08-24,442700
2019-08-26,446000
2019-08-29,443900
2019-08-31,429400
2019-09-03,427300
2019-09-06,427300
2019-09-08,415100
2019-09-11,408000
2019-09-13,409600
2019-09-15,410300
2019-09-16,410300
2019-09-20,411400
2019-09-21,411400
2019-10-08,386800
2019-10-11,386800
2019-10-13,404500
2019-10-15,404500
2019-10-25,394400
2020-01-11,464200
2020-01-14,464200
2020-01-16,460500
2020-01-19,460500
2020-01-28,437000
2020-02-05,452500
2020-02-07,452500
2020-02-08,452500
2020-02-15,460300
2020-02-18,460300
2020-02-20,459500
2020-02-22,477900
2020-04-05,509100
2020-04-08,509100
2020-04-10,540200
2020-04-12,540200
2020-04-15,524700
2020-04-25,535800
2020-04-28,528700
2020-05-20,547400
2020-05-22,544400
2020-05-25,547200
2020-05-27,547200
2020-05-28,547200
2020-05-30,540900
2020-06-12,539500
2020-06-14,540100
2020-06-24,518400
2020-06-26,518400
2020-07-19,543800
2020-07-21,543800
2020-07-22,543800
2020-07-24,522400
2020-07-27,522400
2020-07-29,516800
2020-07-31,509500
2020-08-03,510000
2020-08-05,509400
2020-08-06,509400
2020-08-08,494400
2020-08-10,496000
2020-08-15,469700
2020-08-20,465300
2020-08-21,465300
2020-08-23,465700
2020-09-02,408200
2020-09-04,408200
2020-09-05,408200
2020-09-07,416900
2020-09-10,418800
2020-09-12,391900
2020-09-14,391900
2020-09-17,395500
2020-09-19,389500
2020-09-29,384400
2020-09-30,384400
2020-10-17,371100
2020-10-24,371100
2020-10-30,371100
2020-11-01,371100
2021-02-14,523900
2021-02-17,523900
2021-02-19,524500
2021-02-24,526700
2021-02-27,525200
2021-03-01,521500
2021-03-04,529700
2021-03-09,514700
2021-03-31,524600
2021-04-02,522100
2021-04-03,522100
2021-04-05,522100
2021-04-07,522100
2021-04-15,537900
2021-04-17,537900
2021-04-20,543600
2021-04-22,543600
2021-04-23,543600
2021-05-30,532100
2021-06-01,532100
2021-06-09,547800
2021-06-11,544900
2021-06-14,556200
2021-06-16,556200
2021-06-19,556200
2021-06-21,553500
2021-08-23,492600
2021-08-25,492600
2021-08-26,492600
2021-08-28,492600
2021-08-30,492600
2021-08-31,492600
2021-09-17,449700
2021-09-22,459800
2021-09-24,459800
2021-09-25,459800
2021-09-27,459800
2021-09-30,453900
2021-10-27,450500
2022-01-15,513500
2022-01-22,513500
2022-01-23,513500
2022-01-25,522400
2022-01-27,519000
2022-02-01,519000
2022-02-09,521000
2022-03-26,524500
2022-04-05,541500
2022-04-10,547100
2022-04-15,547100
2022-04-17,538600
2022-04-30,538500
2022-05-07,538500
2022-05-08,538500
2022-05-10,538500
2022-06-29,509700
2022-07-01,510400
2022-07-02,510400
2022-07-04,510400
2022-07-06,510400
2022-07-07,510400
2022-07-14,489800
2022-07-16,489800
2022-07-17,489800
2022-07-19,489800
2022-07-21,489800
2022-07-22,489800
2022-07-24,489800
2022-08-08,409200
2022-08-10,409200
2022-08-11,409200
2022-08-13,409200
2022-08-15,409200
2022-08-18,409200
