date,value
2019-03-16,590300
2019-03-19,590300
2019-03-21,590300
2019-03-24,590300
2019-03-26,526000
2019-03-29,526000
2019-03-31,526000
2019-04-05,525800
2019-04-15,621100
2019-04-18,623900
2019-04-20,611500
2019-04-23,617400
2019-04-30,595700
2019-05-10,559500
2019-05-13,559500
2019-05-15,562800
2019-05-23,516100
2019-05-30,599700
2019-06-02,597900
2019-06-04,599700
2019-06-07,599700
2019-06-12,599700
2019-06-29,568100
2019-07-02,568100
2019-07-04,569800
2019-07-07,569800
2019-07-09,569200
2019-07-12,569200
2019-07-14,580100
2019-07-17,577500
2019-07-19,582600
2019-07-22,585300
2019-07-24,580200
2019-07-29,589000
2019-08-01,584800
2019-08-03,588200
2019-08-06,583800
2019-08-08,583800
2019-08-11,602700
2019-08-16,575500
2019-08-18,591900
2019-08-23,596100
2019-08-26,596100
2019-08-31,596100
2019-09-07,597300
2019-09-12,549600
2019-09-15,549600
2019-09-17,531100
2019-09-20,531100
2019-09-22,531100
2019-09-27,529000
2019-09-30,506700
2020-03-15,468900
2020-03-18,468900
2020-03-20,538900
2020-03-23,538900
2020-03-25,463600
2020-03-28,463600
2020-03-30,463600
2020-04-02,533600
2020-04-04,532400
2020-04-07,607500
2020-04-09,599300
2020-04-12,610100
2020-04-14,599700
2020-04-17,599700
2020-04-22,604900
2020-04-24,604900
2020-04-27,468200
2020-04-29,468200
2020-05-04,481500
2020-05-07,481500
2020-05-09,622200
2020-05-14,622200
2020-05-17,622200
2020-05-19,544400
2020-05-22,624700
2020-05-24,544000
2020-05-27,546500
2020-05-29,538200
2020-06-01,538200
2020-06-03,538200
2020-06-23,614100
2020-06-28,614100
2020-07-01,614100
2020-07-06,614100
2020-07-08,614700
2020-07-13,574700
2020-07-18,581500
2020-07-21,581500
2020-07-23,574300
2020-07-26,577400
2020-07-28,577400
2020-07-31,587700
2020-08-02,587700
2020-08-05,558600
2020-08-07,574800
2020-08-10,562600
2020-08-12,593900
2020-08-15,593900
2020-08-20,593900
2020-08-22,587300
2020-08-25,607100
2020-08-27,590300
2020-09-01,590100
2020-09-04,590100
2020-09-06,590100
2020-09-09,596700
2020-09-11,596700
2020-09-14,591600
2020-09-16,592900
2020-09-19,544400
2021-02-28,505300
2021-03-05,510700
2021-03-10,600500
2021-03-20,610500
2021-03-30,565100
2021-04-02,565100
2021-04-04,612400
2021-04-07,612400
2021-04-09,636100
2021-04-14,635400
2021-04-17,636300
2021-04-19,636300
2021-06-03,583100
2021-06-11,583100
2021-06-13,601300
2021-06-16,554600
2021-06-18,564900
2021-06-21,564900
2021-07-23,615400
2021-08-02,625000
2021-08-10,618400
2021-08-12,618400
2021-08-17,613500
2021-08-20,613500
2021-08-25,613500
2021-08-27,613900
2021-09-01,590400
2021-09-06,595300
2021-09-11,581900
2021-09-21,581400
2021-10-01,593200
2021-10-09,590800
2021-10-11,592200
2021-10-14,408600
2021-10-16,510600
2021-10-21,462000
2021-10-24,507200
2021-10-26,519100
2021-10-29,543300
2022-02-28,432100
2022-03-03,432100
2022-03-05,432100
2022-03-10,601000
2022-03-20,601200
2022-03-25,486700
2022-03-28,486700
2022-04-04,486700
2022-04-14,600900
2022-04-17,600900
2022-04-19,600900
2022-05-14,612000
2022-05-19,612000
2022-05-29,484600
2022-06-06,484600
2022-06-13,513600
2022-06-16,513600
2022-06-18,590300
2022-06-21,590300
2022-06-23,590300
2022-06-26,587400
2022-06-28,587400
2022-07-03,591400
2022-07-06,591400
2022-07-08,599400
2022-07-11,599400
2022-07-13,593500
2022-07-16,604900
2022-07-18,594200
2022-07-21,605600
2022-07-28,599700
2022-08-02,594100
2022-08-05,594100
2022-08-07,583400
2022-08-10,589200
2022-08-12,577200
2022-08-22,595300
2022-08-25,591700
2022-08-27,591700
2022-08-30,591700
2022-09-01,594700
