date,value
2019-01-16,4619737.944951779
2019-02-13,411.4448500270842
2019-02-15,3099.573843580079
2019-02-18,3099.573843580079
2019-02-20,6.928189895783614
2019-02-23,1237.6940639757222
2019-02-25,3552.290986736117
2019-02-28,1339.749355125427
2019-03-05,292.33319654935787
2019-03-15,22.55961629961242
2019-03-20,292.33319654935787
2019-03-22,620.4346691795646
2019-03-27,1139.0003569574972
2019-03-30,1237.6940639757222
2019-04-29,3428365.0473033027
2019-05-01,3003003.981896894
2019-05-06,2641472.7559889816
2019-05-14,3449577.239213813
2019-05-31,4053875.869000362
2019-06-18,5112288.886069255
2019-06-25,4761394.718873915
2019-06-28,4749270.105151824
2019-06-30,4643724.921983854
2019-07-05,4752300.061971766
2019-07-13,5049984.486711088
2019-07-15,5231534.752958028
2019-07-20,5196899.505581375
2019-07-23,5112288.886069255
2019-07-25,5225230.371055584
2019-08-02,5106044.256220391
2019-08-04,4598791.429951171
2019-08-09,4994180.4822136555
2019-08-14,5025151.1016355045
2019-08-17,5159223.996977088
2019-08-22,5012753.368195927
2019-08-24,5168632.262550499
2019-08-29,5165495.387706192
2019-09-03,4391493.877531178
2019-09-06,4225620.668454718
2019-09-08,3175485.340626518
2019-09-11,4231396.098733373
2019-09-13,2526020.6933529903
2019-09-26,350520.6432338264
2019-09-28,600674.3958705092
2019-10-03,933045.721573279
2019-10-08,887102.5771650334
2019-10-11,822930.5580544918
2019-10-26,3103982.1336746756
2020-01-24,14205.201828314817
2020-02-05,4280618.655976486
2020-02-10,4598791.429951171
2020-02-15,5022050.482949768
2020-02-18,4966374.546602177
2020-02-20,4871089.789757683
2020-02-23,5077982.431660327
2020-03-11,3823937.6391426316
2020-03-19,3955053.631836414
2020-03-21,3116701.232607584
2020-04-03,1678946.8652794005
2020-04-05,1583465.1871462413
2020-05-05,4761394.718873915
2020-05-08,4365128.207862839
2020-05-18,5332831.213789708
2020-05-20,4892539.067362587
2020-05-30,4877214.184219755
2020-06-02,5084212.874376425
2020-06-22,4975636.069614676
2020-06-24,4947872.878716319
2020-07-04,4634723.795469123
2020-07-07,4861909.156089922
2020-07-19,4975636.069614676
2020-07-22,5206336.061226145
2020-07-24,4883341.755483619
2020-07-27,5071755.143491901
2020-08-03,4631725.022423882
2020-08-06,4779605.563700492
2020-08-21,4960204.156269972
2020-08-23,4816113.31068814
2020-08-26,4904813.262192837
2020-08-31,4938632.738478883
2020-09-02,4365128.207862839
2020-09-05,3871151.8455731203
2020-09-12,2730057.8366665854
2020-09-20,3068482.9887702363
2020-11-01,5025151.1016355045
2020-11-11,4758362.368921422
2021-02-14,47153.88371272793
2021-02-19,3613091.406833685
2021-02-24,5018950.6544245705
2021-02-27,4819160.79868837
2021-03-01,5115412.382603764
2021-03-04,4580868.56578714
2021-03-24,2646230.2693007956
2021-03-26,1847959.8494465356
2021-03-29,2523686.739034273
2021-03-31,2587015.7182437335
2021-04-05,3621213.6271120426
2021-04-08,3250249.5790217384
2021-04-13,2744536.519732824
2021-04-15,2205792.926527598
2021-04-18,1866463.9405656338
2021-04-23,1575772.8605138438
2021-05-08,2703595.7647999558
2021-05-25,4855792.706677407
2021-06-07,5009655.910662647
2021-06-14,4353431.180620618
2021-07-09,4935554.276558954
2021-07-19,4898674.577591655
2021-07-22,5090446.470966188
2021-07-29,5118536.666766524
2021-08-06,5137298.90724626
2021-08-11,5269426.923811944
2021-08-13,5096683.22075624
2021-08-18,5127914.244186503
2021-08-23,5263103.722501015
2021-08-26,5263103.722501015
2021-09-17,2610635.1371677285
2021-09-30,2308292.7851397493
2021-10-02,2627221.4310866985
2021-10-07,2670070.823599689
2021-10-12,2672459.73294997
2021-10-17,3114155.695013716
2021-10-22,2589373.6710067326
2021-10-25,2851677.3559112865
2021-10-27,2279130.7032325477
2022-01-18,132854.9619970441
2022-01-23,38076.65912824432
2022-01-25,88730.21589095319
2022-01-28,11566.992656207258
2022-01-30,30566.45318368075
2022-02-09,5240.207455338019
2022-02-22,3868.125796896618
2022-03-01,45.00377649192772
2022-03-09,73.45876704324587
2022-04-05,2051380.184258994
2022-04-15,3823937.6391426316
2022-04-18,4613749.216308122
2022-04-25,4743212.585265085
2022-05-10,5093564.451753239
2022-05-28,5499144.54166106
2022-06-09,5326476.6992053045
2022-06-19,5460577.471361947
2022-07-09,4960204.156269972
2022-07-12,5231534.752958028
2022-07-14,5040666.044499225
2022-07-17,5209483.1503121685
2022-07-24,5090446.470966188
2022-07-27,5162359.299153981
2022-08-01,5297920.1068344135
2022-08-06,5336009.644026102
2022-08-08,5215779.683794699
2022-08-11,5399742.330496038
