date,value
2019-02-27,687500
2019-03-24,729100
2019-03-27,729100
2019-03-29,750900
2019-04-01,750900
2019-04-08,750900
2019-04-13,820500
2019-04-18,804000
2019-04-28,804000
2019-05-13,1141500
2019-05-16,1141500
2019-05-23,1150200
2019-05-26,1150200
2019-05-31,1112700
2019-06-02,1206500
2019-06-12,1208200
2019-06-17,1097200
2019-06-22,1103400
2019-06-27,1126800
2019-06-30,1126800
2019-07-02,1127100
2019-07-05,1167700
2019-07-07,1167700
2019-07-10,1165400
2019-07-12,1163400
2019-08-06,1159400
2019-08-09,1159400
2019-08-11,1175400
2019-08-14,1175400
2019-08-16,1175400
2019-08-21,1196700
2019-08-24,1204900
2019-08-26,1190200
2019-08-29,1215100
2019-08-31,1193100
2019-09-03,1193100
2019-09-05,1193500
2019-09-13,1197400
2019-09-15,1205600
2019-09-30,1083300
2019-10-03,892600
2019-10-08,892600
2019-10-10,894400
2019-10-13,894400
2020-03-08,908100
2020-03-13,885700
2020-03-18,860400
2020-03-21,860400
2020-03-28,879000
2020-03-31,842700
2020-04-02,893100
2020-04-07,874200
2020-04-10,874200
2020-04-12,856600
2020-04-15,856700
2020-05-07,872100
2020-05-17,1043400
2020-05-20,1043400
2020-05-22,1043400
2020-05-25,1043200
2020-05-27,1145800
2020-05-30,1145800
2020-06-01,1145700
2020-06-21,1140100
2020-06-24,1140100
2020-06-26,1214100
2020-06-29,1214100
2020-07-01,1214100
2020-07-04,1214100
2020-07-06,1160600
2020-07-09,1197000
2020-07-11,1179400
2020-07-14,1150800
2020-07-16,1154400
2020-07-19,1154400
2020-07-21,1168100
2020-07-26,1202600
2020-07-29,1220600
2020-07-31,1187500
2020-08-05,1179200
2020-08-08,1160200
2020-08-10,1160200
2020-08-15,1117400
2020-08-20,1138400
2020-08-23,1095600
2020-08-25,1113100
2020-09-02,1097500
2020-09-04,1107700
2020-09-12,1073400
2020-09-14,1107100
2020-09-17,1107100
2020-09-29,1125100
2021-03-23,678200
2021-03-26,678200
2021-03-28,734800
2021-03-31,734800
2021-04-05,732900
2021-04-07,767700
2021-04-12,741400
2021-04-15,741400
2021-04-17,741400
2021-05-27,1143400
2021-05-30,1143400
2021-06-01,1143400
2021-06-16,1139500
2021-06-26,1141100
2021-07-11,1175100
2021-07-19,1163900
2021-07-21,1186700
2021-07-26,1162100
2021-07-29,1162100
2021-08-05,1155700
2021-08-10,1187800
2021-08-13,1187800
2021-08-15,1192800
2021-08-18,1202400
2021-08-20,1179900
2021-08-23,1199100
2021-08-25,1189700
2021-08-28,1175200
2021-08-30,1167300
2021-09-04,1154500
2021-09-07,1149100
2021-09-24,1048600
2021-09-29,1055200
2021-10-07,971100
2021-10-14,1048100
2021-10-17,1048100
2021-10-19,1048100
2021-10-24,1048100
2022-02-26,780500
2022-03-01,780500
2022-03-06,780500
2022-03-08,780500
2022-03-23,755800
2022-03-26,755800
2022-03-28,755800
2022-04-17,757500
2022-04-22,803700
2022-04-27,802700
2022-05-12,1066900
2022-05-15,1073300
2022-05-17,1083700
2022-05-20,1117800
2022-05-22,1085400
2022-05-27,1100900
2022-06-01,1132900
2022-06-04,1091900
2022-06-06,1111100
2022-06-11,1131500
2022-06-14,1131500
2022-06-16,1114000
2022-06-19,1137500
2022-06-21,1137500
2022-07-11,1163900
2022-07-14,1186700
2022-07-16,1179000
2022-07-19,1218100
2022-07-21,1178000
2022-07-24,1216100
2022-07-26,1178800
2022-07-31,1171100
2022-08-03,1185500
2022-08-05,1176600
2022-08-08,1173000
2022-08-10,1171000
2022-08-13,1172100
2022-08-15,1175900
2022-08-20,1190600
2022-08-25,1183000
