date,value
2019-02-16,358900
2019-02-21,337200
2019-02-26,276400
2019-04-12,324300
2019-04-22,324000
2019-06-01,344900
2019-06-26,365600
2019-07-06,326600
2019-07-11,338400
2019-07-16,325600
2019-08-30,271700
2019-09-14,274700
2019-09-19,189300
2019-10-09,229800
2019-12-03,280600
2019-12-13,343000
2019-12-23,293000
2019-12-28,326800
2020-01-17,315000
2020-01-22,299400
2020-02-06,352500
2020-03-02,340000
2020-03-17,282100
2020-04-01,307800
2020-04-11,308500
2020-05-26,354400
2020-05-31,335600
2020-07-30,285200
2020-08-09,300600
2020-09-08,257300
2020-09-13,248500
2020-11-12,221300
2020-12-17,302900
2021-01-01,365400
2021-02-10,335100
2021-04-01,366600
2021-05-31,305700
2021-06-15,326600
2021-07-20,335600
2021-08-14,349800
2021-10-08,345700
2021-11-22,309900
2021-12-17,328100
2022-02-05,348700
2022-03-07,349700
2022-03-17,380000
2022-03-22,341800
2022-03-27,371800
2022-04-16,345300
2022-04-21,350100
2022-05-31,340200
2022-06-15,378600
2022-07-10,360800
2022-07-15,365400
2022-07-30,322100
2022-08-09,328800
