date,value
2019-05-01,1111035.0323337994
2019-05-04,1109494.0017158815
2019-05-06,2918118.558181437
2019-05-09,2918118.558181437
2019-05-11,2918118.558181437
2019-05-14,2918118.558181437
2019-05-16,2511700.6561107454
2019-05-26,9521253.052109664
2019-05-29,9521253.052109664
2019-05-31,34743004.14575382
2019-06-03,34733815.24485588
2019-06-08,34733815.24485588
2019-06-10,34733815.24485588
2019-06-13,34733815.24485588
2019-06-15,34733815.24485588
2019-07-05,44669382.876129314
2019-07-10,45120711.28106236
2019-07-13,45320885.04583609
2019-07-15,45099667.08709148
2019-07-18,45173344.03895409
2019-07-20,45194406.05152797
2019-07-23,45289248.11332519
2019-07-25,45289248.11332519
2019-07-28,45289248.11332519
2019-08-09,44784615.02783369
2019-08-12,44784615.02783369
2019-08-14,45015541.2186366
2019-08-17,45015541.2186366
2019-08-22,45015541.2186366
2019-08-24,44742694.614716455
2019-08-29,45078627.983951665
2019-09-03,45089146.89917321
2019-09-06,45089146.89917321
2019-09-08,44858024.73771178
2019-09-11,44606593.86113755
2019-09-13,44606593.86113755
2019-09-16,44606593.86113755
2019-09-18,44606593.86113755
2020-04-05,26038928.073337525
2020-04-08,24183282.403056342
2020-04-10,24450585.33507165
2020-04-15,25566386.72772964
2020-05-05,40563664.15514914
2020-05-08,40563664.15514914
2020-05-18,40563664.15514914
2020-05-20,43422301.609175175
2020-05-25,43205944.52753005
2020-05-28,43205944.52753005
2020-05-30,43288300.191791885
2020-06-02,43288300.191791885
2020-06-24,44303759.21449326
2020-06-27,44303759.21449326
2020-07-04,44868516.92885024
2020-07-07,44868516.92885024
2020-07-09,44742694.614716455
2020-07-14,45078627.983951665
2020-07-17,45078627.983951665
2020-07-19,45078627.983951665
2020-07-22,45247083.35727667
2020-07-24,45436985.15027051
2020-07-27,45363085.443714656
2020-07-29,45363085.443714656
2020-08-01,45289248.11332519
2020-08-03,45289248.11332519
2020-08-23,45373638.72561428
2020-08-26,45373638.72561428
2020-08-31,45373638.72561428
2020-09-02,45394749.10840649
2020-09-05,45394749.10840649
2020-09-07,45394749.10840649
2020-09-12,45278705.01498157
2020-09-15,45278705.01498157
2020-09-17,45278705.01498157
2021-04-05,142.16952794891895
2021-04-08,142.16952794891895
2021-04-13,89.43608865283862
2021-04-15,5379.324890850428
2021-04-18,4278.736423359743
2021-04-23,4278.736423359743
2021-06-29,66353162.95877863
2021-07-02,64275257.07623632
2021-07-04,64275257.07623632
2021-07-09,66340310.53334259
2021-07-14,66211857.286588244
2021-07-19,67489233.3366978
2021-07-22,67268985.72975267
2021-07-29,67268985.72975267
2021-08-13,63368321.16420331
2021-08-16,63368321.16420331
2021-08-18,63858748.497008674
2021-08-21,63858748.497008674
2021-08-23,63556715.03234769
2021-08-26,63192748.530559264
2021-08-28,63192748.530559264
2022-04-18,663.8877487555625
2022-04-25,4192.901565390577
2022-04-30,3384.0288054088496
2022-05-05,3384.0288054088496
2022-05-30,51573944.53444122
2022-06-02,51573944.53444122
2022-06-04,51573944.53444122
2022-06-07,51573944.53444122
2022-06-09,62405797.15924979
2022-06-17,62157040.603116564
2022-06-19,70081980.01654676
2022-06-22,70042317.74468547
2022-06-24,70042317.74468547
2022-06-29,70359941.94770147
2022-07-09,70851072.80230147
2022-07-12,70665031.15925354
2022-07-14,71130610.90501052
2022-07-17,71130610.90501052
2022-07-19,69685881.20929497
2022-07-24,68766177.25962868
2022-07-27,69002067.40625429
2022-08-01,67554083.0970165
2022-08-03,67554083.0970165
